,open,high,low,close,volume,vwap,timestamp,transactions,otc,sma25,sma100,sma200,rsi,macd,signal,histogram
0,149.13,150.1742,148.74,149.12,965485.0,149.1945,1535688000000,9321,,,,,,,,
1,148.73,149.06,147.555,148.15,1171165.0,148.085,1536033600000,14823,,,,,,,,
2,148.03,148.11,146.54,147.6,1667261.0,147.4452,1536120000000,16445,,,,,,,,
3,147.8,148.41,147.3018,148.09,1304238.0,148.0562,1536206400000,12883,,,,,,,,
4,147.57,148.2,146.36,146.55,1511025.0,146.6861,1536292800000,13967,,,,,,,,
5,147.25,148.36,147.0742,147.33,1312321.0,147.5744,1536552000000,14271,,,,,,,,
6,147.19,147.53,146.53,147.0,1194977.0,147.0296,1536638400000,13237,,,,,,,,
7,147.27,147.45,146.44,147.31,1360069.0,147.0526,1536724800000,14059,,,,,,,,
8,148.0,149.41,147.75,148.72,1676700.0,148.9957,1536811200000,14268,,,,,,,,
9,148.53,148.64,146.71,147.19,1182948.0,147.1424,1536897600000,10988,,,,,,,,
10,147.08,148.4,146.38,147.75,1508018.0,147.5967,1537156800000,14076,,,,,,,,
11,147.12,148.49,146.93,147.41,1108440.0,147.5366,1537243200000,12409,,,,,,,,
12,147.59,148.25,147.33,147.58,1247515.0,147.7868,1537329600000,12684,,,,,,,,
13,147.61,148.86,146.86,148.73,1021573.0,148.3653,1537416000000,11080,,,,,48.07502467917071,,,
14,148.51,149.6,148.32,148.49,2793395.0,148.6555,1537502400000,12516,,,,,46.87893372824883,,,
15,148.0,148.08,145.91,146.38,1258155.0,146.4731,1537761600000,12199,,,,,37.94146256010251,,,
16,146.29,146.635,145.48,145.7,1127725.0,145.8269,1537848000000,13055,,,,,35.586757645352705,,,
17,145.51,145.93,143.69,143.95,1378558.0,144.6544,1537934400000,14522,,,,,30.364047703743495,,,
18,143.71,144.61,143.3,143.39,1530637.0,143.7448,1538020800000,15152,,,,,28.902293169433207,,,
19,143.35,145.43,143.35,145.3,1523554.0,144.9441,1538107200000,15470,,,,,39.58517302722699,,,
20,146.09,146.09,143.96,144.03,971576.0,144.7834,1538366400000,11963,,,,,35.73978856687897,,,
21,144.04,144.6,143.11,144.13,1043549.0,144.1241,1538452800000,11830,,,,,36.264798529570974,,,
22,144.15,145.75,142.75,143.91,1910180.0,144.2183,1538539200000,18340,,,,,35.57615920600213,,,
23,143.73,144.81,142.3555,144.44,1508053.0,143.9427,1538625600000,15824,,,,,38.601021229875066,,,
24,144.81,146.3,144.325,144.75,1626145.0,145.4363,1538712000000,17211,,146.52,,,40.36475279774318,,,
25,145.05,146.92,145.0,145.79,1760936.0,146.0026,1538971200000,14332,,146.38680000000002,,,45.97196324197119,-0.9772906274477009,-0.007499927913267257,-0.9697906995344336
26,146.04,147.89,145.37,147.65,1782310.0,147.2838,1539057600000,15802,,146.3668,,,54.25600389354529,-0.7119941055084382,0.20623727522079638,-0.9182313807292346
27,146.58,147.75,145.5,145.5,3517250.0,146.5822,1539144000000,26107,,146.28280000000004,,,45.56004668087933,-0.6675367836983526,0.20055567762470572,-0.8680924613230583
28,145.85,146.25,140.395,140.68,2484285.0,142.9427,1539230400000,27309,,145.9864,,,32.848922093543464,-1.0095997163691095,-0.11320580403684088,-0.8963939123322686
29,142.09,143.78,140.82,142.05,2220010.0,142.1907,1539316800000,20526,,145.80640000000002,,,38.13241569882835,-1.1568045813804133,-0.2083285352385157,-0.9484760461418976
30,141.78,144.25,141.51,142.73,1289779.0,143.2184,1539576000000,15017,,145.62240000000003,,,40.62938263515528,-1.2047080558892276,-0.2049856077978639,-0.9997224480913637
31,143.15,146.36,142.69,145.69,1303274.0,145.2385,1539662400000,14692,,145.57000000000002,,,50.07508851088471,-0.9923850452521208,0.005869922271394379,-0.9982549675235152
32,145.23,147.13,144.43,146.68,1737119.0,146.3666,1539748800000,17854,,145.5448,,,52.78096593286812,-0.7357515178839833,0.21000275971162563,-0.9457542775956089
33,146.49,148.15,145.77,146.79,1515911.0,146.8069,1539835200000,14386,,145.46760000000003,,,53.08522437191874,-0.5175258025057019,0.34258278007192566,-0.8601085825776276
34,147.14,150.9495,146.895,150.15,2450783.0,149.9372,1539921600000,22434,,145.586,,,61.2902068877762,-0.07261932119789094,0.6299914091037894,-0.7026107303016803
35,150.1,150.68,148.96,149.25,1996815.0,149.4772,1540180800000,18569,,145.64600000000002,,,58.34665371576127,0.20498683163529563,0.7260780495495808,-0.5210912179142851
36,149.1,151.28,148.43,150.85,2179188.0,149.8664,1540267200000,22979,,145.78360000000004,,,61.85409846030533,0.5477838250899651,0.8551000344034002,-0.30731620931343506
37,150.62,152.87,149.745,151.97,3056407.0,151.9553,1540353600000,28859,,145.9592,,,64.13099350642486,0.8994591467414352,0.9654202848438962,-0.06596113810246099
38,151.9,153.94,150.42,153.51,2628267.0,152.6203,1540440000000,27473,,146.15040000000002,,,67.04384933565757,1.2875870010639403,1.082838511333121,0.20474848973081927
39,152.46,152.77,148.74,149.61,3639217.0,150.1683,1540526400000,34813,,146.19520000000003,,,54.88753460155417,1.2658913085694508,0.8489142550709051,0.41697705349854564
40,150.69,153.67,150.32,152.82,3072782.0,152.8933,1540785600000,28753,,146.45280000000005,,,61.13404474256588,1.4905355231840929,0.8588467757484377,0.6316887474356552
41,154.0,161.71,150.14,160.95,5553600.0,160.2454,1540872000000,51680,,147.06280000000004,,,71.78860706194291,2.298099673971194,1.3331287412284312,0.9649709327427629
42,160.0,160.86,155.25,155.81,3841326.0,157.0695,1540958400000,36613,,147.53720000000004,,,60.49696480002206,2.494588969613858,1.223694429496876,1.270894540116982
43,156.54,157.5,152.85,153.02,3963574.0,153.885,1541044800000,34440,,147.92240000000004,,,55.4029495811038,2.3975411075718966,0.9013172539639316,1.496223853607965
44,152.82,153.0,149.24,152.06,3978796.0,150.8954,1541131200000,35044,,148.19280000000003,,,53.72658827391222,2.217602855458466,0.577103201480401,1.6404996539780652
45,152.9,155.85,152.47,155.7,2301560.0,154.8535,1541394000000,23149,,148.65960000000004,,,58.81506675130673,2.3417241353643306,0.5609795851090122,1.7807445502553183
46,155.8,156.5,154.78,156.16,1285009.0,155.7874,1541480400000,13408,,149.1408,,,59.42234055231443,2.4489789941468416,0.5345875551132184,1.9143914390336232
47,157.53,157.78,156.05,156.95,1803419.0,156.8981,1541566800000,17859,,149.66240000000002,,,60.49955485625979,2.5681219291571153,0.5229843920987935,2.045137537058322
48,156.96,159.4,156.68,159.36,1708041.0,158.348,1541653200000,17128,,150.25920000000002,,,63.668220553942334,2.8244518989895937,0.6234514895450172,2.2010004094445765
49,159.29,160.3,159.19,160.14,2279873.0,159.916,1541739600000,19821,,150.87480000000002,,,64.65642577207541,3.055314959126264,0.6834516397453498,2.371863319380914
50,160.1,161.96,160.1,161.03,2059725.0,161.3034,1541998800000,21776,,151.48440000000002,,,65.79949639163794,3.2723693229470143,0.72040480285288,2.5519645200941343
51,161.35,161.765,159.76,161.31,1496961.0,161.0103,1542085200000,16557,,152.03080000000003,,,66.17018980101149,3.427470384938232,0.7004046918752782,2.7270656930629538
52,161.92,163.58,160.68,163.41,1941020.0,162.3369,1542171600000,20484,,152.74720000000002,,,68.89339821264856,3.677450186954843,0.7603075951135114,2.9171425918413316
53,162.75,162.8492,160.65,162.13,1988047.0,161.7442,1542258000000,21526,,153.60520000000002,,,65.4358183882627,3.7292867818458433,0.649715352003609,3.0795714298422343
54,161.89,164.24,161.63,163.98,1987447.0,163.5622,1542344400000,20421,,154.4824,,,67.9402072354749,3.874978851554232,0.6363259373695982,3.238652914184634
55,164.5,166.36,163.88,166.23,2171855.0,165.3264,1542603600000,22042,,155.4224,,,70.71900409636494,4.124452936350764,0.7086400177329035,3.4158129186178603
56,165.16,167.09,160.55,160.64,3449992.0,162.0042,1542690000000,32734,,156.0204,,,57.406216908053786,3.826981601802771,0.3289349465479283,3.498046655254843
57,160.58,161.42,159.03,160.31,2009850.0,160.3903,1542776400000,20665,,156.56560000000002,,,56.7273074804221,3.523982902634941,0.020748997904078692,3.5032339047308625
58,159.76,161.18,158.87,160.39,747061.0,160.1737,1542949200000,7513,,157.1096,,,56.86050272575634,3.252813176476252,-0.20033658260368847,3.4531497590799405
59,160.99,161.77,159.245,161.59,1447279.0,160.8682,1543208400000,16502,,157.5672,,,58.90389348079696,3.0990156625174734,-0.28330727724997384,3.3823229397674472
60,161.41,162.16,159.98,162.08,1390463.0,161.3923,1543294800000,17430,,158.0804,,,59.74243271824895,2.9822909360538006,-0.32002560297091787,3.3023165390247184
61,161.23,162.89,160.99,162.0,2332378.0,161.8111,1543381200000,24522,,158.52640000000002,,,59.52886828510235,2.850471951661433,-0.36147566989062874,3.2119476215520617
62,162.0,163.98,161.12,162.72,2063333.0,162.7085,1543467600000,18792,,158.9564,,,60.88413917219903,2.772146856178381,-0.35184061229894503,3.123987468477326
63,163.22,164.66,161.88,164.49,2741554.0,163.6417,1543554000000,20473,,159.3956,,,64.06957302869048,2.820386204661162,-0.24288101105293158,3.0632672157140934
64,165.02,165.15,161.51,163.08,2651670.0,162.6615,1543813200000,25307,,159.9344,,,59.885782272262986,2.7135607801999413,-0.27976514841132216,2.9933259286112635
65,163.27,165.445,163.04,163.48,2468885.0,164.0166,1543899600000,27413,,160.3608,,,60.67040903619912,2.630850709408975,-0.28998017536183074,2.9208308847708055
66,162.81,167.85,161.13,167.63,2809614.0,164.6568,1544072400000,31903,,160.628,,,67.72409349759093,2.8671222982831637,-0.04296686919011394,2.9100891674732776
67,167.37,168.58,165.84,166.43,3357436.0,166.9309,1544158800000,29899,,161.05280000000002,,,64.1418436727237,2.9238351123779296,0.010996755923721402,2.912838356454208
68,165.96,166.895,162.75,166.19,1908958.0,165.3075,1544418000000,21060,,161.5796,,,63.41932518354937,2.9158028714279567,0.002371611978998711,2.913431259448958
69,166.73,167.32,165.5,166.64,2032976.0,166.5768,1544504400000,21374,,162.1628,,,64.23286284303336,2.912178718302698,-0.0010020329170079556,2.913180751219706
70,167.49,167.55,164.14,164.65,2675153.0,165.405,1544590800000,22827,,162.5208,,,58.081273638358006,2.717405621486023,-0.15662010378694635,2.8740257252729693
71,165.14,167.64,164.43,166.8,2153873.0,166.8232,1544677200000,19384,,162.94640000000004,,,62.28395321878429,2.7053480029375123,-0.13494217786836593,2.8402901808058783
72,166.52,167.0,165.02,166.6,2193525.0,166.2976,1544763600000,19809,,163.33240000000006,,,61.66461138010049,2.6491165581723237,-0.1529388981068438,2.8020554562791675
73,166.95,167.16,160.37,160.94,2743571.0,162.5535,1545022800000,28881,,163.39560000000003,,,47.32300794198945,2.1233612489326106,-0.5429553658772459,2.6663166148098565
74,161.85,163.46,161.18,162.31,2475456.0,162.4535,1545109200000,28701,,163.48240000000004,,,50.334000681657244,1.7965345964065875,-0.6958256147226152,2.4923602111292027
75,162.48,164.69,161.78,162.54,1912418.0,162.8711,1545195600000,19034,,163.54280000000006,,,50.842013624764505,1.5383480783715697,-0.7632097062061067,2.3015577845776765
76,162.35,163.97,160.5,161.54,2570607.0,162.1659,1545282000000,23652,,163.55200000000005,,,48.51832339791461,1.2387620818670086,-0.8502365621685346,2.0889986440355433
77,161.54,164.6,157.6206,158.0,4385792.0,160.0986,1545368400000,34339,,163.33560000000006,,,41.31897806801899,0.7075335993421561,-1.10517203575471,1.812705635096866
78,157.31,157.52,152.63,153.58,1968666.0,154.2862,1545627600000,20444,,162.99360000000004,,,34.446201184043474,-0.06932670576242117,-1.5056258726874299,1.4362991669250087
79,153.4,157.53,150.665,157.53,1981645.0,154.8744,1545800400000,19796,,162.73560000000003,,,43.49209327839513,-0.3620881789268253,-1.4387098766814674,1.0766216977546421
80,156.73,158.7499,153.3,158.6,1641831.0,156.4609,1545886800000,18715,,162.43040000000002,,,45.67881800456953,-0.5019772171162913,-1.2628791318967467,0.7609019147804555
81,159.73,161.61,157.75,158.83,1740212.0,159.0994,1545973200000,19591,,162.35800000000006,,,46.161109649146404,-0.5875087744771008,-1.0787285514060452,0.49121977692894436
82,159.67,159.76,156.14,158.19,2044790.0,157.7203,1546232400000,18616,,162.27320000000006,,,44.9647828046205,-0.6988795527571767,-0.952079463748897,0.2531999109917202
83,157.11,157.11,153.93,156.74,2030798.0,155.9275,1546405200000,25412,,162.12720000000007,,,42.29060536041483,-0.8938409368483349,-0.9176326782720441,0.023791741423709156
84,156.61,160.04,156.43,157.68,2467379.0,158.2106,1546491600000,23461,,161.97080000000005,,,44.59120456348921,-0.9614164835084011,-0.7881665799456883,-0.17324990356271291
85,158.11,160.07,157.69,158.31,2529966.0,158.432,1546578000000,20459,,161.82000000000008,,,46.140915828217175,-0.9531475644128875,-0.6239181286801396,-0.3292294357327479
86,158.48,160.62,158.02,159.29,1708148.0,159.5323,1546837200000,17072,,161.71160000000006,,,48.551461333296125,-0.8576303478632781,-0.4227207297044241,-0.434909618158854
87,159.78,161.13,158.58,161.09,2502751.0,160.2454,1546923600000,24325,,161.64640000000009,,,52.73573774515872,-0.6294316129840638,-0.15561759586016782,-0.473814017123896
88,161.88,161.91,158.35,159.68,1797470.0,159.2821,1547010000000,21306,,161.4540000000001,,,49.34990913259775,-0.5559490530304743,-0.0657080287252626,-0.49024102430521166
89,159.47,161.99,158.62,161.86,1986750.0,161.0841,1547096400000,21369,,161.40520000000006,,,54.24153727450809,-0.31813851115197167,0.137682010522592,-0.45582052167456366
90,161.05,162.26,159.9,161.4,1878999.0,161.2388,1547182800000,18638,,161.32200000000006,,,53.07670556111723,-0.16488935713144315,0.2327449316344964,-0.39763428876593954
91,161.04,162.5576,160.85,161.4,1435620.0,161.5891,1547442000000,15051,,161.07280000000006,,,53.07670556111723,-0.04294327512525342,0.2837528109125489,-0.3266960860378023
92,161.23,163.32,160.63,163.05,1597166.0,162.5631,1547528400000,18844,,160.9376000000001,,,56.9248671593801,0.18471184069298374,0.40912634138462883,-0.2244145006916451
93,163.45,164.31,162.83,163.78,1495282.0,163.6732,1547614800000,16730,,160.84120000000007,,,58.54469378089438,0.41920275091305825,0.5148938012837627,-0.09569105037070441
94,163.78,164.93,163.06,164.38,1322770.0,164.0594,1547701200000,13702,,160.75080000000008,,,59.88010424895024,0.6460067090522443,0.593358207538359,0.05264850151388534
95,165.25,165.25,163.38,164.67,1763188.0,164.4088,1547787600000,16283,,160.75160000000005,,,60.541717593788775,0.8394741211664041,0.6294604957220149,0.21001362544438912
96,164.52,165.4099,163.17,164.68,1504135.0,164.2934,1548133200000,16572,,160.66680000000005,,,60.56586683251497,0.9822822175958379,0.6178148737211591,0.3644673438746789
97,164.51,165.8,164.34,165.79,1700303.0,165.257,1548219600000,16277,,160.63440000000003,,,63.25418584987464,1.1715218120337738,0.6456435745272759,0.5258782375064979
98,164.81,165.8424,164.11,165.65,1276074.0,165.3272,1548306000000,15154,,160.82280000000003,,,62.67384308855685,1.295267684461976,0.6155115575643824,0.6797561268975936
99,166.5,168.13,165.79,167.41,1483150.0,167.2336,1548392400000,15473,,161.02680000000007,155.476,,66.79794663048048,1.517857553920436,0.6704811416182739,0.8473764123021621
100,166.94,168.05,165.67,168.05,1180587.0,167.1146,1548651600000,16170,,161.24720000000005,155.6653,,68.17495718512801,1.7260079353602862,0.7029052184464992,1.023102716913787
101,167.68,169.52,167.5501,169.44,1849793.0,168.9728,1548738000000,18582,,161.56320000000002,155.8782,,70.98914077980493,1.9803023033218778,0.7657596691264725,1.2145426341954053
102,169.13,171.5,169.01,170.47,2159687.0,170.4709,1548824400000,20311,,162.06200000000004,156.1069,,72.90136145844461,2.2391334770430547,0.8196726742781193,1.4194608027649354
103,169.79,173.95,169.25,172.84,4046444.0,172.5904,1548910800000,30613,,162.83240000000006,156.3544,,76.70602930509996,2.605464072100517,0.9488026154684652,1.6566614566320519
104,173.15,173.15,169.5404,170.43,3446178.0,170.4326,1548997200000,34692,,163.34840000000005,156.5932,,66.48394542522189,2.6705326115660455,0.8110969239471948,1.8594356876188507
105,170.2,170.95,168.88,170.94,2846961.0,170.2647,1549256400000,25557,,163.84200000000004,156.8293,,67.47183260942907,2.7317625771123346,0.697861511594787,2.0339010655175476
106,170.83,172.535,169.57,172.43,1671315.0,171.317,1549342800000,19335,,164.38600000000005,157.08360000000002,,70.23240410606927,2.8674639737413656,0.6668503265790542,2.2006136471623114
