,open,high,low,close,volume,vwap,timestamp,transactions,otc,sma25,sma100,sma200,rsi,macd,signal,histogram
0,60.47,60.7,60.21,60.55,3352601.0,60.4809,1535688000000,19621,,,,,,,,
1,60.5,60.69,59.88,60.48,4746995.0,60.3577,1536033600000,34397,,,,,,,,
2,60.6,61.31,60.41,61.2,6296737.0,61.1499,1536120000000,39001,,,,,,,,
3,61.03,61.38,60.87,60.94,4979735.0,61.043,1536206400000,31273,,,,,,,,
4,60.72,61.4142,60.64,61.31,3520017.0,61.1777,1536292800000,19328,,,,,,,,
5,61.5,61.77,60.8,60.86,3963992.0,61.05,1536552000000,23432,,,,,,,,
6,60.85,61.01,60.44,60.49,3585947.0,60.5802,1536638400000,28141,,,,,,,,
7,60.53,60.64,59.88,60.33,7025765.0,60.2632,1536724800000,43785,,,,,,,,
8,60.7,60.96,59.52,60.79,6119518.0,60.6751,1536811200000,41347,,,,,,,,
9,60.67,60.72,60.29,60.69,3893926.0,60.5652,1536897600000,25309,,,,,,,,
10,60.85,61.5,60.66,61.3,4431110.0,61.2954,1537156800000,29247,,,,,,,,
11,61.18,61.655,61.13,61.48,3703780.0,61.459,1537243200000,24818,,,,,,,,
12,61.54,62.24,60.59,60.8,4449522.0,61.111,1537329600000,26945,,,,,,,,
13,60.83,61.95,60.82,61.75,4518328.0,61.6464,1537416000000,28802,,,,,61.1524163568773,,,
14,61.87,62.615,61.75,62.25,9010781.0,62.2195,1537502400000,29284,,,,,64.68676891083958,,,
15,61.99,62.29,61.275,61.59,3938478.0,61.6098,1537761600000,24112,,,,,57.27881159368972,,,
16,61.82,62.515,61.735,61.82,5904516.0,62.1805,1537848000000,33011,,,,,59.03924479911411,,,
17,61.88,62.38,61.42,61.62,5842099.0,61.8814,1537934400000,29386,,,,,56.84563104082377,,,
18,61.66,62.09,61.47,61.95,4708447.0,61.8939,1538020800000,24437,,,,,59.51830905042781,,,
19,61.95,62.11,61.685,62.08,3691353.0,62.0041,1538107200000,19472,,,,,60.55471771282893,,,
20,62.37,62.645,62.04,62.1,4344183.0,62.2357,1538366400000,26127,,,,,60.72132750299476,,,
21,62.23,62.82,61.92,62.8,5330301.0,62.4804,1538452800000,30542,,,,,66.11586889957007,,,
22,62.99,63.205,62.32,62.65,4742803.0,62.8012,1538539200000,29894,,,,,64.08477276447516,,,
23,62.23,62.6,61.9,62.36,4369132.0,62.2279,1538625600000,30887,,,,,60.232249456249804,,,
24,62.48,62.89,62.12,62.41,3798651.0,62.4738,1538712000000,26766,,61.464,,,60.671242203742345,,,
25,62.46,63.15,62.21,62.9,7768195.0,62.8331,1538971200000,35608,,61.558,,,64.77505382305932,0.4872562973364154,0.08605885728022111,0.4011974400561943
26,62.71,63.69,62.47,63.23,6619252.0,63.2096,1539057600000,38272,,61.668,,,67.25331499638588,0.5330023589963773,0.10544393515214634,0.42755842384423093
27,62.93,63.35,60.75,60.77,10428404.0,61.5466,1539144000000,47577,,61.6508,,,42.97857463333453,0.3665298732998039,-0.04882284043554164,0.41535271373534555
28,60.77,60.77,57.021,57.5,12540205.0,58.4163,1539230400000,78647,,61.5132,,,28.33690417585808,-0.02892896732628003,-0.3554253448493005,0.32649637752302046
29,57.81,57.96,56.66,57.51,10713515.0,57.4068,1539316800000,64027,,61.3612,,,28.41721685804096,-0.3376339966791875,-0.5313042993617664,0.1936703026825789
30,57.7,58.195,57.345,57.61,6356768.0,57.7799,1539576000000,42138,,61.2312,,,29.270850813310275,-0.5676720225633147,-0.609073860196715,0.04140183763340019
31,57.93,58.09,57.12,57.83,6445883.0,57.7018,1539662400000,43383,,61.12479999999999,,,31.214280143781338,-0.7238821907339172,-0.6122272226938539,-0.11165496804006331
32,57.93,59.275,57.66,58.9,6546176.0,58.7133,1539748800000,43837,,61.0676,,,39.86832950786103,-0.7526635795771668,-0.5128068892296828,-0.23985669034748403
33,57.5,57.53,55.7,55.98,13606948.0,56.2922,1539835200000,79458,,60.87520000000001,,,29.106342306055808,-0.9995702109549143,-0.6077708164859442,-0.39179939446897005
34,55.85,55.85,54.29,54.3,14982375.0,54.7104,1539921600000,80928,,60.6196,,,24.935747997998106,-1.315641557920891,-0.7390737307615368,-0.5765678271593543
