,open,high,low,close,volume,vwap,timestamp,transactions,otc,sma25,sma100,sma200,rsi,macd,signal,histogram
0,66.2,66.48,65.93,66.41,3257279.0,66.2876,1535688000000,23848,,,,,,,,
1,65.74,65.99,65.01,65.23,4516106.0,65.397,1536033600000,33187,,,,,,,,
2,65.05,66.65,64.95,66.59,3977886.0,66.2948,1536120000000,31949,,,,,,,,
3,66.33,67.165,66.09,67.0,3295281.0,66.9155,1536206400000,21219,,,,,,,,
4,66.7,67.06,66.27,67.01,2980654.0,66.8019,1536292800000,20674,,,,,,,,
5,67.01,67.64,67.0,67.16,3353339.0,67.3119,1536552000000,19309,,,,,,,,
6,66.8,67.3,66.6,67.18,2985152.0,67.1287,1536638400000,21821,,,,,,,,
7,67.08,68.1,67.07,67.98,2623194.0,67.9201,1536724800000,22440,,,,,,,,
8,68.07,68.19,67.5,68.16,3093276.0,67.9451,1536811200000,17002,,,,,,,,
9,68.19,68.31,67.72,67.99,1843560.0,67.96,1536897600000,14739,,,,,,,,
10,68.0,68.82,67.89,68.81,2874751.0,68.6226,1537156800000,21408,,,,,,,,
11,68.76,68.86,68.19,68.26,2625463.0,68.4046,1537243200000,20940,,,,,,,,
12,68.25,68.59,67.9,67.93,3017285.0,68.148,1537329600000,19798,,,,,,,,
13,68.3,69.05,68.22,68.79,3428767.0,68.6943,1537416000000,21399,,,,,67.39766081871355,,,
14,68.79,69.29,68.77,69.09,4687746.0,69.0086,1537502400000,19766,,,,,68.8681271477664,,,
15,68.98,69.17,67.85,67.94,2734187.0,68.0623,1537761600000,20225,,,,,58.0580239003872,,,
16,68.14,68.2,67.08,67.14,2347838.0,67.4265,1537848000000,16018,,,,,51.94907845013203,,,
17,67.25,67.8049,67.01,67.1,2289270.0,67.2912,1537934400000,15586,,,,,51.65640531079791,,,
18,67.05,67.35,66.68,66.73,2498691.0,66.9637,1538020800000,18924,,,,,48.911409939486425,,,
19,66.73,66.95,66.61,66.95,2491515.0,66.843,1538107200000,19191,,,,,50.59259349413487,,,
20,66.96,67.31,66.89,67.07,2116494.0,67.0732,1538366400000,18118,,,,,51.52953324813558,,,
21,67.14,67.8,66.96,67.39,2722886.0,67.4093,1538452800000,17734,,,,,54.03287622141194,,,
22,67.53,67.58,65.83,65.92,3764715.0,66.5591,1538539200000,25991,,,,,43.036851970000455,,,
23,65.44,65.46,64.52,64.92,3708118.0,64.8653,1538625600000,30207,,,,,37.453026118866084,,,
24,64.77,65.04,64.6,64.71,2972282.0,64.802,1538712000000,25849,,67.17840000000001,,,36.38539209394118,,,
25,64.66,65.55,64.51,65.35,4091057.0,65.2586,1538971200000,23993,,67.13600000000001,,,41.827860219682876,-0.41715614741542595,-0.35951082322718975,-0.05764532418823618
26,65.47,65.685,65.06,65.07,4603364.0,65.2806,1539057600000,30258,,67.1296,,,40.20715107710323,-0.4871798994075647,-0.34362766017546276,-0.1435522392321019
27,64.54,65.38,63.8,63.83,4789200.0,64.5406,1539144000000,36645,,67.0192,,,33.93598587500216,-0.6354072845933416,-0.39348403628899176,-0.24192324830434983
28,63.87,64.14,62.12,62.35,7242848.0,63.0847,1539230400000,58699,,66.83319999999999,,,28.268695977454527,-0.8623614207406689,-0.49635053794905526,-0.36601088279161365
29,62.64,62.9,61.91,62.54,4297818.0,62.4011,1539316800000,34964,,66.6544,,,29.887473423026265,-1.0151903146368255,-0.5193435454761695,-0.49584676916065606
30,62.42,63.06,62.24,62.55,3439182.0,62.7283,1539576000000,24434,,66.46999999999998,,,29.977040821732757,-1.1225612108274277,-0.5013715533334173,-0.6211896574940103
31,62.71,62.925,62.42,62.61,3226207.0,62.6836,1539662400000,26218,,66.28719999999998,,,30.550312613506918,-1.1891046627052049,-0.4543320041689556,-0.7347726585362493
32,62.17,63.615,62.02,63.55,5447030.0,62.956,1539748800000,36845,,66.10999999999999,,,38.97901318133267,-1.1527030405273422,-0.3343443055928743,-0.8183587349344679
33,62.8,63.13,62.33,62.64,3927375.0,62.6912,1539835200000,32265,,65.88919999999999,,,34.60099876300737,-1.1836396266782856,-0.2922247133950542,-0.8914149132832314
34,64.42,65.53,64.25,64.52,6908049.0,64.728,1539921600000,42479,,65.75039999999998,,,47.67616105198848,-1.044417412105048,-0.12240199905745319,-0.9220154130475948
35,64.56,64.79,63.49,63.64,3051883.0,63.8014,1540180800000,27757,,65.54359999999998,,,43.311151405791534,-0.9936374159339323,-0.057297602309069884,-0.9363398136248624
36,63.24,63.72,62.76,63.4,3766078.0,63.2989,1540267200000,32185,,65.3492,,,42.176995339082715,-0.9616743144786781,-0.020267600683052556,-0.9414067137956256
37,63.38,65.37,63.365,64.64,6235810.0,64.7225,1540353600000,46560,,65.21759999999999,,,49.53054208742118,-0.8267553681592972,0.0917210765090627,-0.9184764446683599
38,64.82,65.04,63.61,63.82,6263214.0,64.1035,1540440000000,48951,,65.0188,,,45.417212332344036,-0.77704103280184,0.11314832949321596,-0.890189362295056
39,61.49,62.261,59.26,59.58,9629010.0,60.0194,1540526400000,71013,,64.63839999999999,,,31.055738872717143,-1.0674695047263114,-0.14182411394500427,-0.9256453907813071
40,59.13,59.81,57.41,57.88,9710216.0,58.5496,1540785600000,76013,,64.23599999999999,,,27.324912379935185,-1.4184608202827889,-0.39425234360118533,-1.0242084766816035
41,58.31,60.31,57.94,60.19,8210993.0,59.3434,1540872000000,64886,,63.95799999999999,,,38.19077533888068,-1.4930157162853561,-0.3750457916830021,-1.117969924602354
42,60.1,60.23,58.71,59.55,8714523.0,59.6408,1540958400000,55062,,63.65599999999999,,,36.559844025814165,-1.585467378779839,-0.3739979633419881,-1.211469415437851
43,59.63,60.475,59.32,60.08,4764403.0,59.9819,1541044800000,35194,,63.38999999999999,,,38.8873401212205,-1.5975538108905596,-0.308867516362167,-1.2886862945283926
44,60.91,60.91,59.87,60.29,5254049.0,60.2278,1541131200000,38750,,63.12359999999999,,,39.829311716136395,-1.5720653595711482,-0.2267032520342045,-1.3453621075369437
45,60.16,61.105,59.68,60.23,7833850.0,60.3244,1541394000000,48482,,62.849999999999994,,,39.64130593117562,-1.538966825237459,-0.15488377416041232,-1.3840830510770468
46,60.27,61.1,60.125,60.51,5171972.0,60.4992,1541480400000,34272,,62.57479999999999,,,41.03998306587578,-1.473160659303808,-0.07126208658140887,-1.4018985727223991
47,60.79,61.44,60.2669,61.33,5777665.0,61.0415,1541566800000,36502,,62.391199999999984,,,45.05550782998245,-1.3394018608167144,0.04999736952454792,-1.3893992303412623
48,61.08,61.1,60.38,60.9,5212948.0,60.8107,1541653200000,32031,,62.23039999999998,,,43.3867951468227,-1.253643236807548,0.1086047948269715,-1.3622480316345196
49,61.15,63.985,60.95,63.8,9735692.0,62.8903,1541739600000,62292,,62.19399999999998,,,55.38745012698682,-0.9408278677199391,0.3371361311316643,-1.2779639988516034
50,62.98,63.38,61.25,61.35,8801235.0,62.3767,1541998800000,64825,,62.03399999999998,,,46.43251944885316,-0.8804645116801311,0.3179995897371779,-1.198464101417309
51,61.56,62.585,61.13,61.86,5982056.0,61.9322,1542085200000,44175,,61.90559999999998,,,48.30612731154218,-0.7824537397209568,0.33280828935708184,-1.1152620290780386
52,62.3,62.9459,61.97,62.47,6799011.0,62.5055,1542171600000,41453,,61.85119999999998,,,50.53467871632814,-0.6480868529754957,0.3737401408820342,-1.02182699385753
53,62.18,62.66,61.73,62.4,4688744.0,62.2534,1542258000000,35923,,61.85319999999999,,,50.266873918645636,-0.5410120915313286,0.3846519218609612,-0.9256640133922898
54,62.44,63.74,62.29,63.24,5368358.0,63.1959,1542344400000,33182,,61.88119999999999,,,53.45453504678556,-0.38394768194935835,0.43337306515434526,-0.8173207471037036
55,62.98,63.58,62.57,62.77,4481055.0,62.895,1542603600000,31411,,61.88999999999999,,,51.46680742769558,-0.29400892592988015,0.41864945693905875,-0.7126583828689389
56,62.94,63.59,62.28,62.31,3866671.0,62.6363,1542690000000,31786,,61.87799999999999,,,49.52570849819325,-0.2568887162174178,0.3646157333212169,-0.6215044495386347
57,62.55,62.745,61.775,61.92,3935342.0,62.1573,1542776400000,27711,,61.812799999999996,,,47.87701852312303,-0.2559895352037458,0.2924119314679111,-0.5484014666716569
58,61.85,62.22,61.54,61.78,1367863.0,61.9196,1542949200000,12108,,61.77839999999999,,,47.268701341913406,-0.2635358801622232,0.22789246920754697,-0.49142834936977015
59,62.02,62.93,61.91,62.74,5082288.0,62.5917,1543208400000,28593,,61.70719999999999,,,51.79194969325487,-0.18986380421615934,0.2412516361228887,-0.43111544033904803
60,62.73,63.31,62.51,63.24,3708993.0,63.0166,1543294800000,30102,,61.69119999999999,,,54.00492589683977,-0.09009378683145286,0.2728173228060761,-0.362911109637529
61,63.03,63.5,62.59,62.83,4940669.0,62.8812,1543381200000,29493,,61.668399999999984,,,51.90099535111529,-0.04360623717868606,0.25544389796707434,-0.2990501351457604
62,62.72,63.34,62.6138,63.04,3240123.0,63.0309,1543467600000,19716,,61.60439999999998,,,52.91285551872345,0.010064706135338497,0.24729187302487915,-0.23722716688954065
63,62.83,63.59,62.7,63.52,3568865.0,63.3393,1543554000000,20326,,61.59239999999998,,,55.23114174756115,0.09029049128296407,0.26201412653800377,-0.1717236352550397
64,63.46,63.9,63.11,63.76,4878903.0,63.5332,1543813200000,31620,,61.759599999999985,,,56.3873391079429,0.17126179883415915,0.2743883472713591,-0.10312654843719993
65,64.01,64.61,62.99,63.08,4237478.0,63.5127,1543899600000,30184,,61.967599999999976,,,52.26846906800632,0.17850414180065144,0.22530455219028112,-0.04680041038962966
66,62.85,63.29,61.87,63.23,5080928.0,62.6743,1544072400000,34968,,62.08919999999998,,,53.08260589530462,0.19410991886213935,0.19272826340141522,0.0013816554607241419
67,63.29,64.29,62.66,62.71,4072885.0,63.1529,1544158800000,31593,,62.215599999999974,,,49.904774152728734,0.16264310694322148,0.12900916118599787,0.03363394575722361
68,63.0,63.71,62.18,63.54,3903574.0,63.2024,1544418000000,29393,,62.35399999999998,,,54.57885455064917,0.20234696533218255,0.13497041565996715,0.0673765496722154
69,63.98,65.0,63.8667,64.55,4703396.0,64.5592,1544504400000,35320,,62.52439999999998,,,59.527515194145245,0.3117178291374145,0.1954730235721593,0.11624480556525524
70,64.89,65.64,64.77,65.28,5902495.0,65.1902,1544590800000,34761,,62.72639999999998,,,62.691427198523996,0.45208853064706744,0.26867498006544976,0.18341355058161768
71,65.36,65.88,65.1304,65.47,4067134.0,65.4609,1544677200000,34350,,62.924799999999976,,,63.49139983700566,0.5720702650988301,0.31092537161376993,0.26114489348506015
