,open,high,low,close,volume,vwap,timestamp,transactions,otc,sma25,sma100,sma200,rsi,macd,signal,histogram
0,74.46,75.31,74.31,75.24,5644701.0,74.9715,1535688000000,36211,,,,,,,,
1,74.98,75.01,73.36,74.0,9709335.0,74.0058,1536033600000,49509,,,,,,,,
2,73.89,75.22,72.8201,74.89,14729118.0,74.1352,1536120000000,92519,,,,,,,,
3,75.01,76.31,74.09,76.07,9471098.0,75.8384,1536206400000,72911,,,,,,,,
4,75.89,77.42,75.83,77.29,9984699.0,76.983,1536292800000,67425,,,,,,,,
5,77.27,77.8,75.63,75.64,5329548.0,76.1435,1536552000000,40186,,,,,,,,
6,74.91,75.94,74.5774,75.73,4980895.0,75.6035,1536638400000,35817,,,,,,,,
7,75.83,77.5,75.62,77.32,6155004.0,76.882,1536724800000,42781,,,,,,,,
8,77.97,78.5,76.89,77.08,6847690.0,77.3817,1536811200000,45746,,,,,,,,
9,77.45,77.74,76.865,76.91,5019209.0,77.1578,1536897600000,35508,,,,,,,,
10,76.83,78.2,76.76,78.1,8987977.0,77.776,1537156800000,63175,,,,,,,,
11,78.04,79.18,77.61,78.61,7718254.0,78.5952,1537243200000,57926,,,,,,,,
12,78.81,79.94,78.48,78.96,7808709.0,79.3519,1537329600000,50447,,,,,,,,
13,79.41,79.97,79.235,79.39,6736979.0,79.4851,1537416000000,50342,,,,,69.30232558139538,,,
14,79.46,79.93,78.58,79.59,12104936.0,79.5285,1537502400000,56941,,,,,69.90529638723258,,,
15,79.22,79.37,78.12,78.74,7129858.0,78.5774,1537761600000,43037,,,,,64.13912612947145,,,
16,78.34,78.9,77.31,77.61,8942102.0,77.8419,1537848000000,46450,,,,,57.36478654325459,,,
17,77.87,79.09,77.33,78.43,6001052.0,78.4548,1537934400000,42915,,,,,60.61557373730009,,,
18,78.47,79.425,78.35,78.76,8946182.0,79.0027,1538020800000,53893,,,,,61.875398617655264,,,
19,78.39,79.09,78.26,78.72,6317723.0,78.7914,1538107200000,36988,,,,,61.61810752676611,,,
20,79.05,80.56,78.9501,79.5,6453348.0,79.7038,1538366400000,40397,,,,,64.70054341865142,,,
21,79.28,79.99,79.16,79.24,3929707.0,79.4895,1538452800000,31062,,,,,62.8875518452067,,,
22,79.66,80.465,79.2,79.9,4825198.0,80.0033,1538539200000,37834,,,,,65.52818051983137,,,
23,79.57,79.97,78.97,79.39,6578159.0,79.4279,1538625600000,43356,,,,,61.86511665010862,,,
24,79.22,79.69,78.44,78.67,4541129.0,78.8946,1538712000000,36383,,77.75120000000001,,,57.01911191338856,,,
25,78.81,80.0,78.73,79.8,5256130.0,79.5894,1538971200000,43704,,77.93360000000001,,,62.04423166597978,0.8669441775567321,-0.006362865922553529,0.8733070434792857
26,79.76,79.89,78.81,79.49,3702190.0,79.4728,1539057600000,31821,,78.15320000000001,,,59.97269543675449,0.844808986523276,-0.022798445564807812,0.8676074320880838
27,80.01,80.53,78.7,78.92,14047445.0,79.799,1539144000000,99671,,78.31440000000002,,,56.25358421438734,0.7723690620780133,-0.0761906960080565,0.8485597580860698
28,76.69,77.07,72.6,73.19,17094761.0,74.5662,1539230400000,121815,,78.19920000000002,,,33.65753992453253,0.24971819179096144,-0.4790732530360867,0.7287914448270482
29,74.51,74.97,73.27,74.58,9480325.0,74.2238,1539316800000,76830,,78.09080000000002,,,39.958130855807845,-0.05172870876775448,-0.6244161228758421,0.5726874141080877
30,74.17,74.97,73.02,73.06,7383984.0,73.654,1539576000000,55358,,77.98760000000001,,,35.938691805734805,-0.40856911565829535,-0.7850052238131064,0.37643610815481104
31,73.54,73.75,72.65,73.72,10207655.0,73.2552,1539662400000,75394,,77.90720000000002,,,38.816612564578804,-0.630839302074989,-0.80582032818384,0.17498102610885105
32,73.96,74.83,73.75,74.36,7234164.0,74.3193,1539748800000,53891,,77.78880000000001,,,41.55835215640325,-0.7467394275915069,-0.7373763629602863,-0.009363064631220552
33,74.47,75.165,73.77,74.53,7315940.0,74.4798,1539835200000,50159,,77.6868,,,42.29802049346182,-0.8154732646475509,-0.6448881600130643,-0.17058510463448665
34,74.39,75.62,73.95,74.18,7275093.0,74.5325,1539921600000,47017,,77.57760000000002,,,41.143453534792954,-0.8879516467894888,-0.5738932337240017,-0.3140584130654871
35,74.45,74.94,72.6,72.84,5390857.0,73.1938,1540180800000,41869,,77.36720000000001,,,36.981432690757956,-1.0415121838318697,-0.581963016613106,-0.45954916721876365
36,71.27,72.91,70.45,72.45,5862839.0,72.1061,1540267200000,52108,,77.12080000000002,,,35.84491663734876,-1.1810651722971954,-0.5772128040627453,-0.6038523682344501
37,72.13,72.57,69.58,69.81,6937040.0,71.0396,1540353600000,54572,,76.75480000000002,,,29.28422555542157,-1.4875404177068106,-0.7069504395778883,-0.7805899781289223
38,70.08,71.13,69.55,70.67,9234950.0,70.5807,1540440000000,68545,,76.406,,,33.55090755626068,-1.6421003345638354,-0.6892082851479304,-0.952892049415905
39,70.0,70.8,69.17,70.12,8538292.0,70.1008,1540526400000,66955,,76.02720000000002,,,32.212325572792665,-1.7883555362659251,-0.6683707894800159,-1.1199847467859092
40,71.16,71.52,69.48,70.54,6262275.0,70.5459,1540785600000,48694,,75.69920000000002,,,34.365811832275725,-1.8490585514311846,-0.5832590437162204,-1.2657995077149642
41,71.03,72.47,70.33,72.39,7206248.0,71.6839,1540872000000,54717,,75.49040000000002,,,42.961258090435415,-1.727967653894794,-0.3697345169438637,-1.3582331369509302
42,72.78,73.35,71.46,72.39,7671473.0,72.6642,1540958400000,55574,,75.24880000000003,,,42.961258090435415,-1.6134039289999436,-0.20413663363921075,-1.4092672953607328
43,72.74,74.48,72.605,74.41,6424640.0,73.9436,1541044800000,50326,,75.07480000000004,,,51.074951356555864,-1.3441200541791858,0.052117792945237884,-1.3962378471244237
44,74.84,74.91,72.26,73.09,5894857.0,73.0483,1541131200000,43990,,74.84960000000002,,,46.427341065557215,-1.223124197220713,0.1384909199229687,-1.3616151171436817
45,73.4,74.63,73.18,73.69,6414024.0,73.9205,1541394000000,47097,,74.61720000000003,,,48.71188987863087,-1.0665248882393428,0.2360721831234711,-1.3025970713628139
46,74.5,78.09,74.25,77.9,12828686.0,76.5651,1541480400000,97433,,74.56360000000004,,,61.21104914490691,-0.5958385363224323,0.5654068280323055,-1.1612453643547378
47,79.02,81.28,78.53,78.77,12356395.0,79.4341,1541566800000,88277,,74.51840000000003,,,63.2065697857053,-0.1508752858311624,0.8082960628188604,-0.9591713486500227
48,78.39,80.09,78.25,80.05,7924541.0,79.3123,1541653200000,59502,,74.54480000000002,,,65.97964962593025,0.3015702840503991,1.0085933061603374,-0.7070230221099384
49,80.13,80.46,79.14,79.83,5761681.0,79.857,1541739600000,50686,,74.59120000000001,,,65.07186516426042,0.6350638754499016,1.073669518047872,-0.4386056425979704
50,79.83,81.09,79.45,80.34,5682614.0,80.425,1541998800000,41597,,74.61280000000002,,,66.23174639113319,0.9297945937777143,1.0947201891005478,-0.16492559532283346
51,80.96,81.56,80.13,80.8,6657755.0,80.9232,1542085200000,57041,,74.66520000000001,,,67.28693877938699,1.1868081811424958,1.0813870211722634,0.10542115997023238
52,81.1,82.1488,79.36,79.92,8665155.0,80.7301,1542171600000,62520,,74.70520000000002,,,63.217188602652286,1.304447793110441,0.9592213065121669,0.34522648659827415
53,79.38,80.27,77.85,79.84,6860110.0,79.3182,1542258000000,62013,,74.97120000000001,,,62.84505397640681,1.375368311967236,0.8241134602951694,0.5512548516720666
54,79.58,80.44,79.26,79.33,6568390.0,79.6914,1542344400000,56330,,75.16120000000001,,,60.403902253574685,1.374575347402427,0.6586563965842882,0.7159189508181387
55,79.47,80.0685,77.98,78.55,6156083.0,78.58,1542603600000,50848,,75.38080000000001,,,56.77174201760788,1.296067180322865,0.4641185836037809,0.831948596719084
56,77.1,77.78,75.3,75.52,10232741.0,75.9887,1542690000000,84783,,75.45280000000001,,,45.36096964018246,0.9780785345445935,0.11690395026040745,0.861174584284186
57,76.14,76.55,74.96,75.09,6890140.0,75.5751,1542776400000,56644,,75.48200000000001,,,44.009096967057005,0.6834939427291999,-0.1421445132439889,0.8256384559731889
58,74.79,75.87,74.34,75.18,2439733.0,75.3257,1542949200000,20518,,75.50800000000001,,,44.382710002666336,0.452084431275793,-0.2988432197579167,0.7509276510337097
59,76.55,78.91,76.5,77.84,14719708.0,77.7262,1543208400000,97004,,75.65440000000001,,,54.12580275286502,0.4778224558490223,-0.21848415614775007,0.6963066119967724
60,77.99,79.58,77.05,79.5,11905359.0,78.7273,1543294800000,85492,,75.92080000000001,,,58.95782092551566,0.6249639570861945,-0.05707412392846245,0.6820380810146569
61,80.62,81.65,79.78,80.27,19884241.0,80.469,1543381200000,102092,,76.23360000000001,,,61.00939577883196,0.7945481650972397,0.09000806726606625,0.7045400978311734
62,80.69,80.81,79.71,80.0,10092423.0,80.1744,1543467600000,78298,,76.64120000000001,,,59.87910552505271,0.8968201438512153,0.15382403681603352,0.7429961070351818
63,79.76,80.24,78.68,80.2,15921724.0,79.7398,1543554000000,80630,,77.0224,,,60.46341552925175,0.9826820059080319,0.19174871909827995,0.790933286809752
64,80.2,80.67,79.16,79.52,16494992.0,79.9999,1543813200000,97155,,77.3984,,,57.40239442287255,0.9845090259706808,0.15486059132874308,0.8296484346419377
65,79.45,80.37,78.569,78.91,13333856.0,79.1657,1543899600000,71573,,77.73320000000001,,,54.725865786012584,0.9260600072052796,0.0771292580506735,0.8489307491546061
66,77.9,78.06,73.89,76.57,15678653.0,75.714,1544072400000,91890,,77.9004,,,45.88690242818615,0.6830465593724995,-0.13270735182568527,0.8157539111981847
67,76.2,76.38,73.685,74.09,10556495.0,74.6047,1544158800000,77043,,77.96839999999999,,,38.744570211695596,0.2870326437272013,-0.4229770139767869,0.7100096577039882
68,74.11,74.2199,71.51,73.34,10798881.0,72.8529,1544418000000,71039,,77.92559999999999,,,36.87526293425893,-0.08633475620833053,-0.6370755311298549,0.5507407749215244
69,74.74,75.41,72.61,73.41,10488177.0,73.7583,1544504400000,66999,,77.93839999999999,,,37.179905018332,-0.3722911549474617,-0.7384255438951889,0.3661343889477272
70,74.4,75.665,74.13,74.5,10142162.0,74.7413,1544590800000,56612,,77.9708,,,41.88322938089131,-0.5051368672935297,-0.6970170049930056,0.19188013769947582
71,74.36,74.57,72.3219,73.37,10694023.0,72.9909,1544677200000,66769,,77.7896,,,38.65236284085511,-0.6936041705015015,-0.7083874465607818,0.014783276059280342
72,72.74,73.44,71.61,71.88,10624765.0,72.0996,1544763600000,52912,,77.514,,,34.83639605435387,-0.9522198163709703,-0.7736024739442005,-0.1786173424267698
73,71.0,71.98,70.245,70.69,9481731.0,70.992,1545022800000,71985,,77.1396,,,32.1098537403724,-1.2389161791875694,-0.8482390694086397,-0.3906771097789297
74,71.37,71.405,68.72,69.56,9711921.0,69.8401,1545109200000,63250,,76.7288,,,29.730305264827138,-1.5395595839106875,-0.9191059793054062,-0.6204536046052813
75,69.81,70.6212,68.16,68.59,11042914.0,69.3418,1545195600000,76220,,76.25880000000001,,,27.82415888764399,-1.834940489788778,-0.9715895081467973,-0.8633509816419807
76,68.1,68.64,65.887,66.48,12921557.0,67.023,1545282000000,90745,,75.686,,,24.19084206249184,-2.213772362031861,-1.080337104311904,-1.133435257719957
77,65.95,67.5,63.68,63.7,19254867.0,64.5714,1545368400000,85734,,75.0372,,,20.409392389498848,-2.707116166643601,-1.2589447271389154,-1.4481714395046859
78,63.54,64.44,62.81,62.92,6318790.0,63.4054,1545627600000,44574,,74.36040000000001,,,19.488881877853004,-3.125010986021522,-1.3414716372134685,-1.7835393488080533
79,63.03,65.41,62.06,65.41,9480399.0,64.0184,1545800400000,64469,,73.80360000000002,,,30.296773610424523,-3.2181763176022713,-1.1477095750353743,-2.070466742566897
80,64.67,65.24,62.814,65.24,8673532.0,64.1716,1545886800000,52196,,73.27120000000002,,,30.000665519652685,-3.268055978326757,-0.9580713886078875,-2.3099845897188693
81,65.8,66.24,64.85,65.19,7628082.0,65.5449,1545973200000,50380,,72.85800000000002,,,29.90807891102206,-3.273881285409175,-0.771117356552244,-2.5027639288569308
82,65.44,66.0835,64.75,65.52,7627378.0,65.3346,1546232400000,48827,,72.47520000000003,,,31.412572768333035,-3.2148112976770733,-0.5696378950561138,-2.6451734026209595
