,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,76.63,76.89,76.08,76.36,1543345.0,76.4463,1535601600000,14550,
1,76.23,76.87,76.215,76.73,1967868.0,76.6553,1535688000000,14819,
2,76.7,76.7,75.71,76.4,2021341.0,76.1849,1536033600000,18650,
3,76.21,77.6,76.11,77.27,4056462.0,77.1945,1536120000000,21466,
4,77.2,77.24,75.91,76.21,3288686.0,76.3434,1536206400000,27051,
5,75.99,76.2327,75.495,75.79,2039255.0,75.8207,1536292800000,19715,
6,76.29,76.64,76.0,76.27,2269387.0,76.3423,1536552000000,18935,
7,76.09,76.64,75.8,76.22,1479611.0,76.2427,1536638400000,12924,
8,76.2,77.26,76.03,77.11,2113146.0,76.9516,1536724800000,17668,
9,77.37,78.0,77.12,77.75,2482676.0,77.6594,1536811200000,18387,
10,77.75,77.91,77.34,77.54,1829536.0,77.5711,1536897600000,16982,
11,77.51,77.99,77.39,77.77,1518913.0,77.7735,1537156800000,14120,
12,77.99,78.615,77.58,78.41,2335424.0,78.3348,1537243200000,14225,
13,78.12,78.34,77.19,77.41,2744343.0,77.6268,1537329600000,20632,
14,77.93,78.41,77.44,78.38,2596466.0,78.102,1537416000000,19185,
15,78.57,78.75,77.72,78.01,3093290.0,78.1819,1537502400000,15452,
16,77.88,77.91,76.94,77.48,1962437.0,77.3667,1537761600000,17648,
17,77.77,78.0299,77.05,77.21,2673595.0,77.4427,1537848000000,21566,
18,77.26,77.42,76.42,76.65,1874721.0,76.9243,1537934400000,16333,
19,77.06,77.265,76.48,76.79,1541092.0,76.9035,1538020800000,12362,
20,76.83,77.33,76.4,76.58,2034500.0,76.6768,1538107200000,14286,
21,77.12,77.93,76.78,77.64,3218111.0,77.4713,1538366400000,25643,
22,77.45,78.3,77.13,77.86,4086633.0,77.9084,1538452800000,22042,
23,78.02,78.59,77.9,78.52,2593660.0,78.3898,1538539200000,21031,
24,78.57,79.7,77.66,78.16,3271946.0,78.3946,1538625600000,26976,
25,78.26,78.65,77.47,78.06,4116449.0,77.9955,1538712000000,26088,
26,77.48,78.09,76.93,77.9,2712335.0,77.6065,1538971200000,21472,
27,77.77,77.9,75.74,75.98,3638730.0,76.3004,1539057600000,26218,
28,75.94,75.99,73.29,73.35,4197370.0,74.1767,1539144000000,35391,
29,73.1,73.6,71.02,71.2,4347147.0,72.2391,1539230400000,35801,
30,72.74,72.82,71.2,71.92,3601052.0,72.0231,1539316800000,32044,
31,71.74,72.22,71.42,71.42,2559076.0,71.7433,1539576000000,21780,
32,72.17,73.66,71.95,73.57,3476436.0,73.1616,1539662400000,27868,
33,73.47,74.31,72.71,74.0,3635485.0,73.7135,1539748800000,29556,
34,73.65,74.26,71.93,72.44,3092741.0,72.7776,1539835200000,25066,
35,72.56,73.37,71.935,72.27,3182381.0,72.4509,1539921600000,22303,
36,72.65,72.71,71.47,71.72,2686876.0,71.9049,1540180800000,24841,
37,69.76,69.8,68.05,68.97,5540580.0,68.718,1540267200000,48768,
38,68.93,69.18,65.82,66.01,5158337.0,67.0455,1540353600000,46149,
39,66.86,67.65,66.49,67.1,3657911.0,67.0613,1540440000000,32533,
40,66.23,67.34,65.56,66.25,3507773.0,66.3943,1540526400000,32128,
41,67.4,68.33,65.45,66.33,3497042.0,67.0832,1540785600000,32483,
42,66.27,67.92,66.165,67.81,2895382.0,67.3225,1540872000000,26715,
43,68.61,69.52,67.83,67.88,3606687.0,68.3749,1540958400000,28236,
44,68.39,70.26,68.24,69.95,3935698.0,69.6954,1541044800000,30495,
45,70.67,70.96,69.083,69.62,4625708.0,69.7616,1541131200000,27873,
46,69.91,70.98,69.7198,70.35,4504120.0,70.3744,1541394000000,28392,
47,67.51,71.0,67.18,70.53,4589938.0,70.1638,1541480400000,32730,
48,71.08,71.18,68.58,69.87,6501576.0,69.7774,1541566800000,30460,
49,68.98,70.26,68.98,69.76,5343626.0,69.8938,1541653200000,38130,
50,68.84,69.53,67.89,68.49,4236230.0,68.6704,1541739600000,33966,
51,68.45,68.79,66.87,67.01,4731317.0,67.8691,1541998800000,39429,
52,67.29,68.78,66.47,66.76,4877894.0,67.4311,1542085200000,38652,
53,67.53,68.9899,66.83,67.4,4789878.0,67.7979,1542171600000,41609,
54,66.63,69.23,66.33,68.81,4314862.0,68.2926,1542258000000,35190,
55,68.47,70.31,68.39,69.62,4733002.0,69.5092,1542344400000,30541,
56,69.29,69.34,67.7,68.46,6012289.0,68.4324,1542603600000,26859,
57,67.94,68.11,66.71,67.11,3350883.0,67.1944,1542690000000,27913,
58,67.42,67.88,67.13,67.28,3089395.0,67.3855,1542776400000,25879,
59,66.49,66.66,65.65,65.81,1888966.0,66.1237,1542949200000,15364,
60,66.28,67.1,65.84,66.62,3213909.0,66.4938,1543208400000,26005,
61,66.5,67.07,65.94,66.75,2156980.0,66.5707,1543294800000,19979,
62,67.0,68.07,66.22,68.07,2258365.0,67.5548,1543381200000,18457,
63,67.75,67.9385,66.98,67.33,3109345.0,67.3466,1543467600000,27074,
64,67.15,67.65,66.42,67.52,3467305.0,67.269,1543554000000,25513,
65,69.38,69.95,68.4,68.86,5009518.0,68.9752,1543813200000,36157,
66,68.66,69.19,65.58,65.65,6547656.0,66.4918,1543899600000,43156,
67,64.18,64.34,62.04,63.79,8002166.0,63.1902,1544072400000,63754,
68,63.89,64.87,62.79,62.95,5232486.0,63.4136,1544158800000,39496,
69,62.48,63.04,61.135,62.55,4061115.0,62.3042,1544418000000,30255,
70,63.71,64.0,61.71,62.28,3220665.0,62.6165,1544504400000,27246,
71,60.67,62.14,60.571,61.08,7497051.0,61.5078,1544590800000,54109,
72,61.46,61.665,60.5,60.73,6478341.0,60.9916,1544677200000,52139,
73,60.13,60.93,59.96,60.44,6152266.0,60.399,1544763600000,46354,
74,60.1,60.21,58.27,58.72,7234884.0,59.1066,1545022800000,43723,
75,59.2,59.97,58.13,58.49,6674572.0,58.844,1545109200000,42623,
76,58.49,59.94,57.11,57.68,5091789.0,58.3123,1545195600000,39781,
77,57.22,57.63,56.18,56.7,7058366.0,56.8188,1545282000000,49775,
78,56.7,57.97,56.6,56.87,10205469.0,57.0396,1545368400000,52021,
79,56.33,56.8451,55.445,55.49,3719986.0,56.0438,1545627600000,27517,
80,55.9,58.52,55.385,58.47,5451056.0,57.0676,1545800400000,45590,
81,57.51,59.33,57.25,59.33,5717238.0,58.1086,1545886800000,46989,
82,59.5,60.03,58.92,59.13,4261881.0,59.3785,1545973200000,35848,
83,59.37,59.875,59.09,59.75,4149935.0,59.4781,1546232400000,33202,
84,58.8,59.82,58.54,59.75,3342021.0,59.4276,1546405200000,28004,
