,open,high,low,close,volume,vwap,timestamp,transactions,otc,sma25,sma100,sma200,rsi,macd,signal,histogram
0,43.93,44.05,43.45,43.71,6528135.0,43.7006,1535688000000,26599,,,,,,,,
1,44.09,44.13,43.85,43.99,3128694.0,43.9981,1536033600000,21963,,,,,,,,
2,44.04,44.38,43.99,44.2,7031697.0,44.1899,1536120000000,35853,,,,,,,,
3,44.45,44.58,44.18,44.36,6306403.0,44.364,1536206400000,37822,,,,,,,,
4,44.11,44.44,43.86,44.07,4752444.0,44.1362,1536292800000,27642,,,,,,,,
5,44.27,44.85,44.17,44.62,5083211.0,44.5815,1536552000000,27929,,,,,,,,
6,44.29,44.48,43.97,44.2,5325519.0,44.1888,1536638400000,31984,,,,,,,,
7,44.25,44.46,44.06,44.12,4665790.0,44.1754,1536724800000,29407,,,,,,,,
8,44.11,44.45,43.86,44.44,4495732.0,44.3344,1536811200000,20279,,,,,,,,
9,44.34,44.36,43.84,44.08,5272314.0,44.0756,1536897600000,26048,,,,,,,,
10,44.38,44.55,44.17,44.47,2977705.0,44.3914,1537156800000,21508,,,,,,,,
11,44.34,44.48,44.025,44.2,4449029.0,44.1656,1537243200000,25729,,,,,,,,
12,44.27,44.28,42.9499,43.24,9961802.0,43.2626,1537329600000,33867,,,,,,,,
13,43.17,43.56,42.92,43.39,6070625.0,43.3762,1537416000000,31373,,,,,46.39639639639638,,,
14,43.3,43.86,43.125,43.65,9479915.0,43.5319,1537502400000,30819,,,,,49.57627118644064,,,
15,43.59,43.7,43.165,43.2,4501614.0,43.3376,1537761600000,25910,,,,,44.640357610511586,,,
16,43.29,43.29,42.44,42.58,5618760.0,42.6389,1537848000000,26329,,,,,38.89460512100418,,,
17,42.69,42.84,42.19,42.2,6259633.0,42.4031,1537934400000,29570,,,,,35.84900458320628,,,
18,42.24,42.95,42.2,42.81,5984377.0,42.7022,1538020800000,26982,,,,,43.497595377910955,,,
19,42.93,43.72,42.84,43.66,7179525.0,43.5359,1538107200000,33327,,,,,52.072621903774554,,,
20,43.46,43.54,43.2,43.41,4646181.0,43.3736,1538366400000,28024,,,,,49.68429673940871,,,
21,43.55,44.205,43.4966,44.01,4842468.0,44.0048,1538452800000,25701,,,,,55.016790686071985,,,
22,43.95,44.07,42.73,43.1,5375397.0,43.2666,1538539200000,31295,,,,,46.8985636752449,,,
23,43.02,43.325,42.56,43.24,6420001.0,43.0879,1538625600000,39285,,,,,48.16578875496899,,,
24,43.24,43.96,43.14,43.81,3426315.0,43.727,1538712000000,23694,,43.7104,,,53.07573229646757,,,
25,43.97,44.21,43.48,44.01,5684258.0,43.9517,1538971200000,32984,,43.7224,,,54.69725972680795,-0.06353500082283148,0.06322079732548849,-0.12675579814831997
26,43.86,44.3601,43.63,44.02,5522408.0,43.9802,1539057600000,35068,,43.7236,,,54.78139897084651,-0.01995427441594444,0.08544121898590043,-0.10539549340184487
