,open,high,low,close,volume,vwap,timestamp,transactions,otc,sma25,sma100,sma200,rsi,macd,signal,histogram
0,9.64,9.68,9.4,9.48,76424985.0,9.4978,1535688000000,106793,,,,,,,,
1,9.53,9.58,9.36,9.47,54111309.0,9.4767,1536033600000,87481,,,,,,,,
2,9.47,9.55,9.32,9.49,44562214.0,9.4868,1536120000000,90025,,,,,,,,
3,9.48,9.55,9.4,9.43,29521407.0,9.4442,1536206400000,69607,,,,,,,,
4,9.41,9.49,9.25,9.27,51230018.0,9.33,1536292800000,101680,,,,,,,,
5,9.31,9.49,9.3,9.38,30421697.0,9.4056,1536552000000,65540,,,,,,,,
6,9.35,9.36,9.22,9.31,27158781.0,9.3033,1536638400000,57313,,,,,,,,
7,9.31,9.42,9.28,9.34,25450766.0,9.3538,1536724800000,51953,,,,,,,,
8,9.38,9.41,9.31,9.37,29315871.0,9.3616,1536811200000,51345,,,,,,,,
9,9.38,9.48,9.36,9.45,30014036.0,9.42,1536897600000,51559,,,,,,,,
10,9.435,9.595,9.43,9.55,29544628.0,9.5387,1537156800000,56328,,,,,,,,
11,9.54,9.61,9.48,9.58,57055598.0,9.5736,1537243200000,55116,,,,,,,,
12,9.61,9.83,9.61,9.78,40116385.0,9.7846,1537329600000,62853,,,,,,,,
13,9.83,9.93,9.71,9.81,46314658.0,9.8053,1537416000000,78203,,,,,67.74193548387095,,,
14,9.84,9.94,9.78,9.85,74488747.0,9.8447,1537502400000,67092,,,,,69.16996047430825,,,
15,9.78,9.85,9.52,9.59,43171027.0,9.606,1537761600000,78995,,,,,52.80627640313818,,,
16,9.53,9.56,9.37,9.39,44406169.0,9.4402,1537848000000,66543,,,,,44.15325771170424,,,
17,9.38,9.41,9.27,9.27,58597597.0,9.3133,1537934400000,79859,,,,,39.92586701879865,,,
18,9.3,9.33,9.2,9.23,57272392.0,9.2439,1538020800000,63613,,,,,38.5992312025198,,,
19,9.22,9.28,9.09,9.25,30989333.0,9.2147,1538107200000,59590,,,,,39.678486721046454,,,
20,9.43,9.44,9.3,9.32,44865872.0,9.3751,1538366400000,66718,,,,,43.42662241135366,,,
21,9.27,9.34,9.18,9.2,41806608.0,9.2382,1538452800000,64630,,,,,38.95768651781745,,,
22,9.27,9.31,9.13,9.13,47023858.0,9.191,1538539200000,74533,,,,,36.59210999038982,,,
23,9.13,9.22,9.09,9.15,38889897.0,9.1511,1538625600000,68224,,,,,37.755069170604145,,,
24,9.15,9.22,9.1,9.12,36952638.0,9.1407,1538712000000,62604,,9.4084,,,36.66866308851609,,,
25,9.1,9.28,9.09,9.26,43658230.0,9.2076,1538971200000,58432,,9.3996,,,44.670104544072885,-0.08213137123005687,-0.031915300007436,-0.050216071222620874
26,9.23,9.31,8.95,8.95,58357067.0,9.0318,1539057600000,105175,,9.3788,,,34.327862830741026,-0.10257970165639563,-0.0418909043470198,-0.060688797309375826
27,8.95,8.98,8.81,8.82,54104272.0,8.8874,1539144000000,97472,,9.351999999999999,,,31.078324571417937,-0.12780184427923658,-0.053690437575888594,-0.07411140670334798
28,8.82,8.99,8.76,8.81,66170941.0,8.8684,1539230400000,107418,,9.3272,,,30.836510567930546,-0.14690407175548792,-0.05823413204171195,-0.08866993971377597
29,8.95,8.95,8.55,8.64,59309803.0,8.675,1539316800000,102867,,9.302,,,26.991601234184984,-0.17375733747898536,-0.06806991821216751,-0.10568741926681785
30,8.67,8.85,8.66,8.81,40183427.0,8.799,1539576000000,65274,,9.2792,,,35.63448736629523,-0.17925482672128012,-0.05885392596356981,-0.12040090075771032
31,8.87,8.89,8.73,8.8,36772082.0,8.7876,1539662400000,71312,,9.2588,,,35.3692421960525,-0.18231690716215354,-0.04953280512355457,-0.13278410203859897
32,8.8,8.86,8.64,8.76,48795242.0,8.747,1539748800000,67586,,9.2356,,,34.27038654257673,-0.18582917067380933,-0.042436054908168264,-0.14339311576564107
33,8.74,8.76,8.5,8.51,59670440.0,8.5819,1539835200000,80682,,9.201199999999998,,,28.343427118372063,-0.20640625267668788,-0.05041050952883744,-0.15599574314785045
34,8.32,8.525,8.19,8.5,59795301.0,8.4292,1539921600000,93630,,9.1632,,,28.133829436055564,-0.22097341091054723,-0.051982134210157405,-0.16899127670038983
35,8.38,8.45,8.27,8.41,39803605.0,8.3789,1540180800000,69804,,9.1176,,,26.252228650822033,-0.23704769829137007,-0.05444513727278419,-0.18260256101858588
36,8.3,8.64,8.23,8.59,55446249.0,8.487,1540267200000,95908,,9.077999999999998,,,35.53798326995246,-0.2325811405607734,-0.03998286363374998,-0.19259827692702342
37,8.5,8.595,8.17,8.18,58897107.0,8.3497,1540353600000,115532,,9.014,,,27.15182044312816,-0.2591377561215804,-0.05323158335564557,-0.20590617276593484
38,8.52,9.0,8.46,8.99,90397979.0,8.8591,1540440000000,151644,,8.9812,,,51.50117950662059,-0.21237569986726612,-0.005175621681065001,-0.20720007818620112
39,8.96,9.06,8.86,8.98,100649120.0,8.9635,1540526400000,149199,,8.946399999999999,,,51.273323770389375,-0.17411624610827658,0.02646706566233964,-0.20058331177061622
40,9.36,9.59,9.17,9.28,92275268.0,9.3948,1540785600000,148266,,8.934,,,57.36718718865676,-0.11822503594259359,0.06588662066241813,-0.18411165660501172
41,9.31,9.56,9.27,9.46,58062098.0,9.4686,1540872000000,108549,,8.936799999999998,,,60.5547352191173,-0.05872935805275503,0.10030583884180536,-0.1590351968945604
42,9.62,9.67,9.43,9.55,68507297.0,9.5303,1540958400000,127069,,8.947999999999999,,,62.081319054027205,-0.004267167591452292,0.12381442344248647,-0.12808159103393876
43,9.54,9.55,9.26,9.29,59794465.0,9.3417,1541044800000,99984,,8.950399999999998,,,55.40975670886139,0.01771052769978354,0.11663369498697784,-0.0989231672871943
44,9.36,9.45,9.26,9.38,48499366.0,9.362,1541131200000,79327,,8.955599999999999,,,57.12727566593022,0.04190717754106821,0.11266427586261,-0.0707570983215418
45,9.38,9.57,9.35,9.53,41275869.0,9.4975,1541394000000,66102,,8.963999999999999,,,59.89959879415427,0.07235290402593719,0.11448800187798319,-0.042135097852046
46,9.46,9.57,9.41,9.54,40928749.0,9.515,1541480400000,56095,,8.977599999999999,,,60.08490644157179,0.0961795797160665,0.11065174205449,-0.014472162338423498
47,9.6,9.6,9.45,9.6,37347539.0,9.5661,1541566800000,61413,,8.9964,,,61.24219001219723,0.11853746431983048,0.10640770132660318,0.012129762993227298
48,9.58,9.65,9.44,9.46,55810420.0,9.4993,1541653200000,80040,,9.008799999999999,,,57.08333800922089,0.12353538001429065,0.08912449361685068,0.03441088639743997
49,9.38,9.8,9.27,9.38,52206468.0,9.4252,1541739600000,119963,,9.019199999999998,,,54.79353203464386,0.11966154894853354,0.06820053004087484,0.05146101890765869
50,9.38,9.58,9.37,9.49,36317306.0,9.5141,1541998800000,72118,,9.0284,,,57.3281812228068,0.12403776051868398,0.058061393288820234,0.06597636722986375
51,9.53,9.67,9.47,9.54,33098195.0,9.5761,1542085200000,68034,,9.052,,,58.46806724191064,0.13004148456345987,0.0512520938668769,0.07878939069658297
52,9.63,9.6658,9.43,9.54,46677794.0,9.5342,1542171600000,78757,,9.0808,,,58.468067241910646,0.133263302723174,0.043579129621272805,0.08968417310190119
53,9.5,9.53,9.12,9.31,57170639.0,9.2762,1542258000000,85880,,9.1008,,,51.17507194691529,0.11592127076599112,0.02098967813127195,0.09493159263471918
54,9.28,9.31,8.98,9.05,54582718.0,9.0928,1542344400000,93304,,9.1172,,,44.428555488921866,0.08027242782784505,-0.011727331845499317,0.09199975967334437
