,open,high,low,close,volume,vwap,timestamp,transactions,otc,sma25,sma100,sma200,rsi,macd,signal,histogram
0,199.38,200.91,199.29,200.77,4023407.0,200.4729,1535688000000,25214,,,,,,,,
1,200.69,205.92,200.5,205.08,4612882.0,203.8774,1536033600000,50176,,,,,,,,
2,204.83,206.67,203.15,204.15,3667125.0,204.6201,1536120000000,43257,,,,,,,,
3,204.59,207.09,203.8,205.89,3490731.0,206.0456,1536206400000,36557,,,,,,,,
4,205.45,207.2299,205.43,206.23,3672826.0,206.4091,1536292800000,39699,,,,,,,,
5,208.13,211.62,208.13,210.69,5586588.0,210.363,1536552000000,56516,,,,,,,,
6,213.0,214.66,211.5,213.85,5969770.0,213.3127,1536638400000,56988,,,,,,,,
7,214.03,215.43,210.91,211.98,5660375.0,212.1177,1536724800000,55612,,,,,,,,
8,211.44,211.44,208.7,209.45,4701394.0,209.5876,1536811200000,44179,,,,,,,,
9,210.19,210.53,207.55,209.07,3622422.0,208.8104,1536897600000,38365,,,,,,,,
10,209.08,210.035,208.26,208.4,3074787.0,208.8062,1537156800000,32300,,,,,,,,
11,208.63,211.73,208.16,211.02,4338654.0,210.6767,1537243200000,32928,,,,,,,,
12,212.0,212.67,210.66,211.68,2579196.0,211.8694,1537329600000,31153,,,,,,,,
13,211.66,212.61,211.005,211.06,4020877.0,211.5366,1537416000000,38984,,,,,71.18155619596541,,,
14,211.3,212.66,210.51,212.39,9749415.0,211.9272,1537502400000,45380,,,,,72.78626753192378,,,
15,211.52,211.84,207.96,207.99,4623767.0,209.0492,1537761600000,43706,,,,,60.736888781392366,,,
16,208.84,209.3,206.8,207.46,4443509.0,207.755,1537848000000,38081,,,,,59.46001463193994,,,
17,208.58,209.14,207.23,207.52,2966045.0,208.1969,1537934400000,31197,,,,,59.563654658150746,,,
18,207.5,207.83,205.6713,206.84,3218951.0,206.9862,1538020800000,35218,,,,,57.76136850366202,,,
19,206.44,208.85,206.35,207.15,3966522.0,207.3109,1538107200000,32369,,,,,58.37964909183172,,,
20,208.52,209.79,207.37,207.6,3670718.0,208.3788,1538366400000,33666,,,,,59.310737865225576,,,
21,207.49,208.04,204.67,204.75,4428105.0,205.7331,1538452800000,35095,,,,,51.45903242879155,,,
22,206.1622,206.46,203.65,203.74,4162653.0,204.6569,1538539200000,41315,,,,,48.984188663064174,,,
23,203.65,203.76,198.27,198.85,5996180.0,199.3624,1538625600000,62904,,,,,39.16353806823532,,,
24,199.07,199.7,194.57,196.38,5016780.0,196.4708,1538712000000,53996,,207.19960000000003,,,35.31243786296832,,,
25,196.24,198.66,195.06,198.41,3732016.0,197.4644,1538971200000,39704,,207.1052,,,40.491659616099874,-1.3992303185947037,-1.6063603272431668,0.2071300086484631
26,197.95,199.18,195.58,195.75,4466958.0,196.9927,1539057600000,44934,,206.732,,,36.38119457525254,-1.9079514214927826,-1.6920651441129966,-0.21588627737978608
27,199.11,199.24,193.35,193.7,6158321.0,196.0397,1539144000000,63190,,206.31400000000002,,,33.55417476671448,-2.448311813546894,-1.7859404289336864,-0.6623713846132078
28,193.71,196.67,188.47,189.74,5831716.0,192.6594,1539230400000,67723,,205.668,,,28.8849060892327,-3.1596675416400615,-1.997836925621483,-1.1618306160185785
29,192.75,193.59,190.16,192.47,5450299.0,192.1506,1539316800000,51888,,205.1176,,,35.54403693853716,-3.463212142947924,-1.8411052215434762,-1.622106921404448
30,192.36,193.29,190.7021,191.17,3642968.0,191.8796,1539576000000,34521,,204.33680000000004,,,33.91542214088135,-3.765268885933324,-1.7145295716231006,-2.0507393143102233
31,191.83,194.08,190.61,193.58,4057675.0,192.7073,1539662400000,42658,,203.526,,,39.453967166201814,-3.7667632699140654,-1.3728191644830736,-2.393944105430992
