,open,high,low,close,volume,vwap,timestamp,transactions,otc,sma25,sma100,sma200,rsi,macd,signal,histogram
0,47.96,48.56,47.92,48.43,16483981.0,48.3476,1535688000000,82339,,,,,,,,
1,48.38,48.4267,47.5601,47.96,15658894.0,47.9226,1536033600000,97101,,,,,,,,
2,47.75,48.12,47.47,47.72,20857150.0,47.7706,1536120000000,109981,,,,,,,,
3,47.76,47.96,47.21,47.26,19318129.0,47.4473,1536206400000,107041,,,,,,,,
4,46.91,47.48,46.36,46.45,25958345.0,46.7226,1536292800000,125105,,,,,,,,
5,46.56,46.76,46.23,46.3,21522362.0,46.3524,1536552000000,112139,,,,,,,,
6,46.0,46.03,44.89,44.93,32455320.0,45.3874,1536638400000,171109,,,,,,,,
7,44.56,44.98,44.06,44.93,29778722.0,44.5858,1536724800000,163288,,,,,,,,
8,45.68,45.85,45.11,45.57,18657116.0,45.5014,1536811200000,100607,,,,,,,,
9,45.78,45.965,45.35,45.54,22998666.0,45.5876,1536897600000,99363,,,,,,,,
10,45.29,45.9,45.19,45.42,17603171.0,45.5653,1537156800000,94953,,,,,,,,
11,45.58,46.53,45.41,46.1,20528084.0,46.1506,1537243200000,113148,,,,,,,,
12,46.09,46.44,45.89,46.15,15918914.0,46.1166,1537329600000,90493,,,,,,,,
13,46.78,47.36,46.52,47.2,21999267.0,47.0965,1537416000000,116273,,,,,39.86820428336081,,,
14,47.12,47.419,46.37,46.66,52650601.0,46.7799,1537502400000,128448,,,,,36.38256042558111,,,
15,46.31,47.0,46.15,46.91,17846994.0,46.8057,1537761600000,85326,,,,,39.03981723794017,,,
16,46.22,46.39,45.8,45.91,23389874.0,46.0275,1537848000000,113462,,,,,33.086571789159194,,,
17,46.04,46.3,45.58,45.7,23957663.0,45.9037,1537934400000,106804,,,,,31.98356825214745,,,
18,45.91,46.165,45.73,45.88,15415535.0,45.9417,1538020800000,78166,,,,,34.01411990548115,,,
19,45.62,47.75,45.46,47.29,46223464.0,47.0711,1538107200000,235857,,,,,47.28905216892471,,,
20,46.79,47.22,46.2,46.45,23797630.0,46.6723,1538366400000,134396,,,,,41.88317963173044,,,
21,47.51,48.88,47.32,48.1,42121090.0,48.2463,1538452800000,194049,,,,,53.200334994481764,,,
22,48.62,49.72,48.56,48.76,39191946.0,48.9248,1538539200000,187854,,,,,56.82226431057634,,,
23,48.84,48.86,47.62,48.13,30108253.0,48.0417,1538625600000,140975,,,,,52.63479658887843,,,
