,open,high,low,close,volume,vwap,timestamp,transactions,otc,sma25,sma100,sma200,rsi,macd,signal,histogram
0,58.355,58.57,57.63,58.27,5520295.0,58.1116,1535688000000,38523,,,,,,,,
1,58.45,58.62,56.55,56.66,6918716.0,57.2357,1536033600000,55684,,,,,,,,
2,56.65,57.714,56.29,57.0,7064232.0,57.2478,1536120000000,46255,,,,,,,,
3,57.04,57.25,56.06,56.8,8822067.0,56.6265,1536206400000,57136,,,,,,,,
4,56.69,56.72,56.17,56.59,6815922.0,56.5075,1536292800000,45749,,,,,,,,
5,56.9,57.4799,56.81,57.24,8285305.0,57.2596,1536552000000,42676,,,,,,,,
6,57.35,57.865,56.69,57.76,7617593.0,57.3685,1536638400000,45246,,,,,,,,
7,58.23,59.53,57.8,59.12,6699039.0,59.049,1536724800000,43541,,,,,,,,
8,59.25,59.91,58.9,59.49,5891457.0,59.355,1536811200000,34892,,,,,,,,
9,59.3,59.3589,58.6,58.97,3953667.0,58.9474,1536897600000,26477,,,,,,,,
10,58.02,58.49,57.7,58.35,7494176.0,58.0806,1537156800000,44198,,,,,,,,
11,57.85,58.05,56.38,57.1,7285059.0,57.0196,1537243200000,54053,,,,,,,,
12,57.32,57.45,56.82,56.89,5079455.0,57.0472,1537329600000,34722,,,,,,,,
13,57.28,57.9444,57.22,57.57,5364624.0,57.6708,1537416000000,35542,,,,,45.90163934426228,,,
14,57.93,57.94,57.05,57.12,11543608.0,57.321,1537502400000,33893,,,,,43.43675417661095,,,
15,57.0,57.3,56.235,56.52,4728990.0,56.5648,1537761600000,33478,,,,,40.32725413328789,,,
16,56.65,56.843,55.6,55.66,3813163.0,56.0011,1537848000000,28357,,,,,36.314478329142,,,
17,55.91,55.92,55.07,55.17,5436472.0,55.3474,1537934400000,35332,,,,,34.224845183019994,,,
18,55.11,55.775,54.32,55.04,7881934.0,55.1685,1538020800000,52148,,,,,33.67126363026232,,,
19,54.98,55.44,54.4,55.11,6505421.0,54.9539,1538107200000,41578,,,,,34.2876126840725,,,
20,55.49,55.935,55.225,55.54,6208752.0,55.536,1538366400000,43822,,,,,38.09317336600462,,,
21,55.57,56.29,55.46,55.93,3930179.0,55.8638,1538452800000,33946,,,,,41.40749250829865,,,
22,56.07,56.5,55.38,55.6,5395105.0,55.8437,1538539200000,39750,,,,,39.48137800595727,,,
23,55.45,55.88,55.14,55.52,4349467.0,55.5069,1538625600000,34058,,,,,39.00766656765482,,,
24,55.7,56.04,55.23,55.89,4163571.0,55.716,1538712000000,32764,,56.836400000000005,,,42.44708724393256,,,
25,55.85,57.31,55.85,57.06,6060801.0,56.9296,1538971200000,38766,,56.788000000000004,,,51.71874550482391,-0.5126788313037238,0.05756713936131941,-0.5702459706650432
26,57.3,57.48,55.59,56.07,8537001.0,56.1395,1539057600000,52465,,56.764399999999995,,,45.09833881426749,-0.48252862268088137,0.07017387838732958,-0.552702501068211
27,55.81,57.03,55.73,55.74,7799572.0,56.3178,1539144000000,59609,,56.714,,,43.11704403623774,-0.479732548999948,0.05837596165461045,-0.5381085106545584
28,55.97,56.23,53.57,53.82,9595054.0,54.494,1539230400000,69074,,56.59479999999999,,,33.81010210273769,-0.6252372485490767,-0.06970299031561455,-0.5555342582334621
29,53.94,54.43,53.03,54.24,9452465.0,53.889,1539316800000,63399,,56.5008,,,37.012990171592214,-0.6986071727137926,-0.11445833158426433,-0.5841488411295283
30,54.05,54.96,54.05,54.47,4829751.0,54.593,1539576000000,33821,,56.39,,,38.7605989358978,-0.7297818178831434,-0.11650638140289216,-0.6132754364802513
31,54.71,55.66,54.49,55.44,4813771.0,55.3107,1539662400000,34570,,56.297200000000004,,,45.614038886072926,-0.6685108781396636,-0.044188353327529795,-0.6243225248121338
32,55.41,57.02,55.3,56.4,7094427.0,56.3011,1539748800000,51967,,56.18840000000001,,,51.40980082746763,-0.5363070264530165,0.07041239868729388,-0.6067194251403104
33,56.41,56.92,55.43,55.54,6075358.0,55.9382,1539835200000,43849,,56.03040000000001,,,46.61709434223434,-0.4952207377930691,0.08919894987779309,-0.5844196876708622
34,56.15,57.755,56.1,57.56,8880707.0,57.266,1539921600000,56757,,55.974000000000004,,,56.80350199699545,-0.2962474832840769,0.23053776350942823,-0.5267852467935051
35,57.66,58.08,56.09,56.21,7390050.0,56.6002,1540180800000,48160,,55.88840000000001,,,49.944324108890655,-0.2446730248136717,0.22568977758386677,-0.47036280239753847
36,56.2,56.8605,55.53,56.6,6428994.0,56.2443,1540267200000,46344,,55.86840000000001,,,51.75670485742002,-0.1703662778660444,0.23999721962519527,-0.4103634974912397
37,56.42,57.38,55.705,55.78,5833760.0,56.4081,1540353600000,42675,,55.824000000000005,,,47.834992393969245,-0.17562035045276048,0.18779451763078336,-0.36341486808354384
38,55.76,56.54,55.34,55.98,5712758.0,56.0091,1540440000000,45371,,55.76040000000001,,,48.85295196414289,-0.1617810016195378,0.16130709317120484,-0.32308809479074263
39,55.51,55.58,54.3,54.65,6480040.0,54.8106,1540526400000,51026,,55.661600000000014,,,42.86279659999901,-0.2551914149083814,0.05431734390588905,-0.3095087588142704
40,55.17,56.11,54.72,55.52,6301821.0,55.5765,1540785600000,47997,,55.621600000000015,,,47.40574571290592,-0.2560663379704806,0.042753936675031856,-0.2988202746455125
41,55.62,56.43,55.33,55.85,6015527.0,55.785,1540872000000,51130,,55.62920000000001,,,49.06020268020915,-0.22750889777162087,0.0570491014991133,-0.28455799927073416
42,55.5,55.545,53.77,54.97,8888135.0,54.8158,1540958400000,57757,,55.62120000000001,,,44.995406540123206,-0.27274157114548814,0.009453142500196854,-0.282194713645685
43,55.13,56.5,54.61,56.2,7427665.0,55.4605,1541044800000,53409,,55.667600000000014,,,51.094611994032185,-0.2069524511831844,0.060193809970000456,-0.26714626115318485
44,52.25,52.52,50.411,50.73,22310566.0,51.1159,1541131200000,137383,,55.49240000000002,,,33.37211440796233,-0.589403112737692,-0.2578054812676057,-0.33159763147008625
45,51.07,53.0,51.04,52.39,10481690.0,52.1739,1541394000000,66878,,55.36640000000002,,,40.155963025492476,-0.7499054474286879,-0.3346462527668813,-0.4152591946618066
46,52.77,53.72,52.43,53.46,6724080.0,53.2756,1541480400000,45709,,55.26760000000002,,,44.10637820730955,-0.7817530834694608,-0.29319511104612334,-0.4885579724233375
47,53.85,54.03,52.9,53.55,5379443.0,53.3906,1541566800000,36429,,55.18560000000002,,,44.438607860611555,-0.7906165808407835,-0.24164688673395673,-0.5489696941068267
48,53.25,53.6,52.94,53.31,5031774.0,53.2792,1541653200000,37191,,55.09720000000002,,,43.69277893247904,-0.8076963399682668,-0.2069813166891521,-0.6007150232791147
49,53.36,54.145,53.07,53.99,5712966.0,53.7026,1541739600000,42409,,55.021200000000015,,,46.43583973383321,-0.7576283866924456,-0.1255306907306647,-0.6320976959617809
50,54.03,54.87,53.51,53.67,5540876.0,54.0115,1541998800000,37862,,54.885600000000025,,,45.31702423769866,-0.7352944815710174,-0.08255742848738912,-0.6527370530836283
51,53.75,54.27,52.98,53.38,5511415.0,53.4636,1542085200000,39360,,54.77800000000003,,,44.275893645492985,-0.7325508866004213,-0.06385106681343433,-0.668699819786987
52,53.43,53.56,52.17,52.64,5601595.0,52.7003,1542171600000,42057,,54.65400000000003,,,41.64658468758434,-0.7810845271607789,-0.08990776589903349,-0.6911767612617454
53,52.0,52.27,51.45,51.99,6902871.0,51.8474,1542258000000,49014,,54.58080000000004,,,39.43153105563853,-0.8620600629028132,-0.13670664131285415,-0.7253534215899591
54,52.01,52.9,51.77,52.08,11004963.0,52.2377,1542344400000,48544,,54.494400000000034,,,39.90810967645564,-0.9084989007303079,-0.146516383312279,-0.7619825174180289
55,51.97,52.74,51.73,51.89,6378109.0,52.0451,1542603600000,37344,,54.39120000000003,,,39.20674399394281,-0.9496860369116149,-0.15016281559486877,-0.7995232213167461
56,52.05,52.365,50.71,50.94,5967146.0,51.211,1542690000000,41478,,54.211200000000034,,,35.81728270871838,-1.0469160035845917,-0.1979142258142763,-0.8490017777703154
57,51.03,51.48,50.72,51.16,4154976.0,51.1808,1542776400000,31225,,54.00160000000003,,,37.17187243236661,-1.0936128036436443,-0.1956888206986631,-0.8979239829449812
58,51.03,51.5,50.83,51.04,2018748.0,51.1145,1542949200000,12843,,53.82160000000003,,,36.71667865762246,-1.1273084412552308,-0.18350756664819956,-0.9438008746070312
59,51.56,51.72,50.95,51.07,4527182.0,51.146,1543208400000,28563,,53.56200000000003,,,36.924632217592624,-1.1384681750961576,-0.155733840391301,-0.9827343347048566
60,50.93,51.855,50.585,51.8,5269426.0,51.4201,1543294800000,29091,,53.38560000000003,,,41.925537008870045,-1.0760039417795468,-0.07461568565975218,-1.0013882561197947
61,51.32,51.41,50.62,51.18,6212689.0,51.034,1543381200000,40129,,53.16880000000004,,,39.09077509391478,-1.064261263918624,-0.05029840623906345,-1.0139628576795605
62,50.96,51.655,50.83,51.19,4840327.0,51.2801,1543467600000,30939,,52.98520000000004,,,39.162225428777894,-1.0421351058917594,-0.022537798569759016,-1.0195973073220004
