,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,15.08,15.19,15.042,15.12,334935.0,15.1107,1625025600000,2101,
1,15.13,15.13,14.84,14.89,241629.0,15.0126,1625112000000,2092,
2,15.02,15.1,14.93,15.0,388152.0,15.0224,1625198400000,4733,
3,15.08,15.09,14.87,15.01,685094.0,15.1119,1625544000000,11269,
4,15.0601,15.15,14.84,14.89,362538.0,14.983,1625630400000,5538,
5,14.58,14.8,14.49,14.74,228021.0,14.5999,1625716800000,3705,
6,14.83,14.94,14.74,14.9,180707.0,14.8654,1625803200000,2775,
7,15.0,15.03,14.86,14.94,249746.0,14.9777,1626062400000,5120,
8,14.97,15.04,14.86,14.9,256051.0,14.9658,1626148800000,4539,
9,15.08,15.09,14.72,14.76,196264.0,14.9028,1626235200000,4419,
10,14.78,14.81,14.41,14.54,174233.0,14.641,1626321600000,5035,
11,14.58,14.63,14.33,14.38,103993.0,14.471,1626408000000,3253,
12,14.13,14.34,14.031,14.31,111852.0,14.1668,1626667200000,3173,
13,14.41,14.5,14.24,14.46,88232.0,14.3787,1626753600000,1984,
14,14.49,14.68,14.485,14.67,78115.0,14.5744,1626840000000,1869,
15,14.75,14.78,14.64,14.7088,90804.0,14.7098,1626926400000,2209,
16,14.85,14.86,14.71,14.8,167551.0,14.747,1627012800000,2086,
17,14.73,14.73,14.6,14.63,128353.0,14.6857,1627272000000,2225,
18,14.56,14.58,14.14,14.36,140729.0,14.3664,1627358400000,3136,
19,14.5,14.67,14.38,14.6226,72875.0,14.5413,1627444800000,1235,
20,14.75,14.79,14.68,14.7173,92769.0,14.7342,1627531200000,1871,
21,14.56,14.68,14.52,14.62,67276.0,14.5925,1627617600000,1428,
22,14.72,14.7225,14.55,14.64,87711.0,14.6546,1627876800000,1811,
23,14.6,14.62,14.4,14.57,119306.0,14.544,1627963200000,2495,
24,14.61,14.72,14.59,14.72,98578.0,14.6439,1628049600000,1965,
25,14.65,14.7499,14.56,14.73,220194.0,14.6602,1628136000000,2613,
26,14.7,14.73,14.579,14.65,143659.0,14.6763,1628222400000,2226,
27,14.71,14.83,14.63,14.8107,115247.0,14.7691,1628481600000,2222,
28,14.89,14.97,14.617,14.67,131568.0,14.7677,1628568000000,2587,
29,14.8,14.81,14.59,14.7,260877.0,14.6965,1628654400000,1971,
30,14.71,14.75,14.601,14.75,153521.0,14.6875,1628740800000,1482,
31,14.77,14.82,14.661,14.74,93899.0,14.7275,1628827200000,1810,
32,14.75,14.76,14.42,14.55,194217.0,14.5644,1629086400000,2497,
33,14.4,14.4019,14.205,14.31,199607.0,14.3154,1629172800000,2819,
34,14.38,14.44,14.26,14.27,222496.0,14.3711,1629259200000,2512,
35,14.14,14.3599,14.05,14.23,110171.0,14.204,1629345600000,1810,
36,14.3,14.4699,14.15,14.45,100029.0,14.3808,1629432000000,1245,
37,14.6,14.76,14.56,14.7498,161891.0,14.6516,1629691200000,1957,
38,14.88,14.94,14.82,14.91,190996.0,14.8947,1629777600000,2056,
39,14.98,15.05,14.9,15.02,171461.0,15.0266,1629864000000,2077,
40,15.0,15.01,14.7532,14.81,173937.0,14.8921,1629950400000,2089,
41,14.87,14.99,14.81,14.96,122997.0,14.9139,1630036800000,1612,
42,15.0,15.08,14.95,15.03,221500.0,15.0214,1630296000000,2535,
43,15.06,15.13,15.0315,15.11,155281.0,15.0855,1630382400000,2006,
44,15.22,15.32,15.16,15.24,1842013.0,15.3011,1630468800000,2851,
45,15.31,15.35,15.17,15.23,301698.0,15.2623,1630555200000,2336,
46,15.23,15.36,15.23,15.35,283401.0,15.3108,1630641600000,2005,
47,15.43,15.46,15.3221,15.41,311198.0,15.4,1630987200000,2991,
48,15.37,15.3725,15.07,15.21,374614.0,15.2105,1631073600000,2687,
49,15.14,15.23,15.1,15.18,217892.0,15.1735,1631160000000,2011,
50,15.21,15.27,15.09,15.12,158114.0,15.1948,1631246400000,1953,
51,15.18,15.18,14.911,15.03,358894.0,15.0,1631505600000,2227,
52,15.07,15.085,14.93,14.99,127496.0,15.0142,1631592000000,1693,
53,14.97,15.01,14.82,15.01,174126.0,14.9055,1631678400000,2429,
54,14.95,15.0477,14.88,15.03,124712.0,14.9525,1631764800000,2076,
55,15.02,15.02,14.855,14.93,98599.0,14.9334,1631851200000,2368,
56,14.57,14.63,14.26,14.43,349751.0,14.4561,1632110400000,4594,
57,14.52,14.6199,14.43,14.56,140429.0,14.521,1632196800000,1924,
58,14.58,14.75,14.51,14.73,118366.0,14.6801,1632283200000,1484,
59,14.81,14.93,14.79,14.93,133193.0,14.8858,1632369600000,1689,
60,14.8,14.92,14.77,14.91,143940.0,14.8498,1632456000000,1634,
61,14.86,14.86,14.67,14.8,94517.0,14.7704,1632715200000,1925,
62,14.58,14.58,14.25,14.27,335011.0,14.3428,1632801600000,3976,
63,14.35,14.36,14.11,14.16,383356.0,14.2428,1632888000000,3410,
64,14.23,14.26,14.11,14.16,145423.0,14.199,1632974400000,1852,
65,14.24,14.25,14.0,14.25,120143.0,14.0943,1633060800000,2221,
66,14.15,14.15,13.75,13.9,211957.0,13.8789,1633320000000,3683,
67,13.95,14.1,13.885,14.04,76306.0,14.0193,1633406400000,1559,
68,13.89,14.115,13.81,14.1,80926.0,13.9777,1633492800000,1328,
69,14.3,14.475,14.27,14.39,154569.0,14.3989,1633579200000,1341,
70,14.45,14.45,14.28,14.31,121021.0,14.3755,1633665600000,1158,
71,14.22,14.405,14.21,14.23,74377.0,14.3128,1633924800000,1134,
72,14.24,14.27,14.17,14.23,80131.0,14.2049,1634011200000,1012,
73,14.31,14.44,14.3,14.44,257245.0,14.3491,1634097600000,998,
74,14.6,14.65,14.5324,14.64,103746.0,14.6124,1634184000000,1176,
75,14.75,14.78,14.68,14.78,177948.0,14.7426,1634270400000,1526,
76,14.73,14.9235,14.73,14.92,145590.0,14.8282,1634529600000,1893,
77,15.0,15.16,14.97,15.16,211679.0,15.0771,1634616000000,2001,
78,15.17,15.22,15.03,15.12,210689.0,15.1281,1634702400000,2622,
