,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,209.71,211.09,209.23,210.22,2240896.0,210.3544,1535601600000,23970,
1,209.57,211.72,209.44,210.92,1943467.0,210.7196,1535688000000,20185,
2,210.55,210.75,207.545,208.6,2108512.0,208.7613,1536033600000,23342,
3,208.29,211.91,207.3512,211.83,1951485.0,210.7029,1536120000000,22399,
4,212.0,213.37,211.07,212.74,2363497.0,212.3737,1536206400000,26665,
5,212.24,212.97,209.97,212.57,2739158.0,211.9901,1536292800000,26754,
6,213.68,216.37,212.86,212.93,2399880.0,214.052,1536552000000,29053,
7,211.36,212.22,210.0,211.78,1967602.0,211.3263,1536638400000,23942,
8,212.3,214.76,205.9,206.71,4937081.0,208.7645,1536724800000,44854,
9,207.34,209.14,206.55,209.05,2171502.0,208.0653,1536811200000,25182,
10,208.84,210.295,207.15,207.88,1721730.0,208.101,1536897600000,20393,
11,207.46,210.19,207.3,209.53,1610522.0,209.4663,1537156800000,19262,
12,210.24,211.825,208.43,211.53,1652902.0,210.7693,1537243200000,21098,
13,211.77,214.1399,211.63,213.12,1884685.0,213.1331,1537329600000,21529,
14,214.7,217.0,213.26,215.27,2075158.0,214.8855,1537416000000,23889,
15,217.32,217.87,215.61,216.33,5563875.0,216.6522,1537502400000,27892,
16,215.39,215.865,212.69,213.51,2045094.0,213.8001,1537761600000,19904,
17,214.13,214.13,210.28,210.64,2090622.0,211.2528,1537848000000,18794,
18,211.49,212.59,210.64,211.07,1677850.0,211.518,1537934400000,20185,
19,212.0,212.87,210.0,210.11,1609788.0,210.7131,1538020800000,16551,
20,209.53,211.275,208.87,210.71,2500289.0,210.5471,1538107200000,19063,
21,212.4,213.4,211.31,212.19,1829124.0,212.2859,1538366400000,17417,
22,212.38,215.84,212.1,215.71,1749390.0,214.7138,1538452800000,20643,
23,216.0,217.34,214.94,215.76,2139385.0,216.0155,1538539200000,21064,
24,214.85,215.66,212.035,213.84,1682636.0,213.4627,1538625600000,20499,
25,214.35,215.03,211.06,213.19,2140620.0,213.0718,1538712000000,21044,
26,213.13,214.58,212.26,214.37,1666842.0,213.7695,1538971200000,17549,
27,212.68,213.11,209.635,210.42,2947208.0,211.1565,1539057600000,27050,
28,209.19,209.19,201.55,202.15,3525312.0,204.2911,1539144000000,40508,
29,201.15,202.91,196.5,196.73,3497321.0,199.1985,1539230400000,42609,
30,200.87,202.55,195.93,198.23,2798241.0,198.1153,1539316800000,33013,
31,197.82,200.7,197.4185,198.94,1812971.0,199.2267,1539576000000,18461,
32,200.46,202.52,199.23,202.33,1939719.0,201.6094,1539662400000,21224,
33,201.79,203.77,200.445,202.93,1824342.0,202.5823,1539748800000,20797,
34,202.34,202.52,198.4,200.38,2339619.0,200.4392,1539835200000,25463,
35,200.12,201.1,198.37,199.85,3167324.0,199.9205,1539921600000,25866,
36,201.25,203.4,199.69,201.36,3263276.0,201.3495,1540180800000,34167,
37,188.8,194.89,184.5,192.55,8255820.0,190.0135,1540267200000,81990,
38,192.1,192.96,183.97,184.54,5003595.0,186.8555,1540353600000,54374,
39,186.57,187.48,182.36,184.99,3535375.0,184.8669,1540440000000,41195,
40,183.31,186.655,181.98,184.95,3546344.0,184.704,1540526400000,39974,
41,187.85,188.88,183.16,185.79,2867643.0,186.6948,1540785600000,34126,
42,186.83,190.08,185.0,189.81,2919739.0,188.1786,1540872000000,34956,
43,190.7,192.12,189.665,190.26,2845297.0,190.6136,1540958400000,30137,
44,190.61,193.21,190.09,192.22,2242860.0,191.99,1541044800000,25756,
45,193.66,194.47,191.6,192.81,3069826.0,193.0235,1541131200000,34458,
46,193.5,194.56,192.21,193.25,2886726.0,193.3516,1541394000000,28034,
47,193.27,195.5,193.0,195.3,1900383.0,194.8445,1541480400000,19696,
48,197.19,201.4,195.41,201.29,2445019.0,199.3194,1541566800000,26318,
49,201.0,204.2699,200.73,204.07,2534149.0,203.2011,1541653200000,27542,
50,204.0,204.0,199.6974,201.1,2429316.0,201.3244,1541739600000,24620,
51,200.57,200.77,196.5,197.04,2770098.0,198.1983,1541998800000,27300,
52,197.52,200.88,197.16,198.37,2168881.0,198.5923,1542085200000,25450,
53,200.8,201.04,196.29,198.06,2797864.0,198.111,1542171600000,30838,
54,197.73,205.13,196.24,204.91,3157694.0,201.7141,1542258000000,37208,
55,203.24,209.77,202.6037,209.0,2620443.0,207.5684,1542344400000,28608,
56,207.83,208.05,204.371,205.58,3220482.0,205.9587,1542603600000,30685,
57,203.58,204.135,200.19,200.51,2677469.0,201.4642,1542690000000,34011,
58,199.68,201.18,198.66,198.69,1832969.0,199.6292,1542776400000,20956,
59,197.76,198.6799,196.79,196.8,1000040.0,197.6565,1542949200000,11872,
60,198.57,201.83,197.32,199.86,2321052.0,199.9123,1543208400000,22674,
61,199.12,201.32,196.7793,200.69,2079849.0,199.9583,1543294800000,24934,
62,201.99,204.35,199.42,204.34,2184811.0,202.6164,1543381200000,24412,
63,203.87,205.84,202.66,204.56,1569431.0,204.3383,1543467600000,19974,
64,204.36,207.92,203.98,207.92,3171876.0,207.2033,1543554000000,26398,
65,211.21,211.95,207.05,208.76,2493464.0,209.084,1543813200000,30426,
66,208.06,208.55,202.09,202.2,2698765.0,204.342,1543899600000,32793,
67,199.61,203.08,198.19,202.68,2991891.0,200.8282,1544072400000,38711,
68,202.62,204.37,197.01,198.24,2254574.0,199.2195,1544158800000,29725,
69,198.36,198.95,193.64,198.32,1980467.0,197.0465,1544418000000,27617,
70,201.26,202.0,196.14,197.46,1828954.0,198.5386,1544504400000,22696,
71,200.6,202.62,199.7,199.81,1919000.0,200.8717,1544590800000,20300,
72,201.43,202.4,199.5208,202.13,1831818.0,201.4081,1544677200000,23017,
73,200.12,201.57,195.85,196.1,2473715.0,197.7337,1544763600000,27568,
74,195.84,198.245,191.85,192.82,2547899.0,194.2876,1545022800000,29450,
75,193.39,196.92,193.15,194.56,2636327.0,195.0252,1545109200000,29866,
76,196.0,198.23,189.7,189.96,3266653.0,192.5834,1545195600000,34556,
77,189.11,191.12,185.5,187.38,3609580.0,187.998,1545282000000,45607,
78,187.86,190.5,183.64,183.75,6699390.0,186.1671,1545368400000,42932,
79,181.89,183.54,178.51,178.62,2249702.0,180.4832,1545627600000,22499,
80,179.38,186.33,176.87,186.26,2925675.0,181.9135,1545800400000,33185,
