,open,high,low,close,volume,vwap,timestamp,transactions,otc,sma25,sma100,sma200,rsi,macd,signal,histogram
0,58.55,59.02,58.35,58.52,4278297.0,58.6004,1535688000000,26186,,,,,,,,
1,58.64,59.36,58.45,59.11,4734873.0,59.027,1536033600000,31213,,,,,,,,
2,59.08,60.68,58.93,60.65,6635513.0,60.1839,1536120000000,45767,,,,,,,,
3,60.62,60.9,60.3201,60.79,5806158.0,60.7019,1536206400000,39430,,,,,,,,
4,60.51,61.06,60.41,60.93,7559046.0,60.8775,1536292800000,40489,,,,,,,,
5,61.02,61.69,60.54,60.58,5694451.0,60.8731,1536552000000,37774,,,,,,,,
6,60.56,60.7,59.345,59.47,7138975.0,59.6635,1536638400000,43565,,,,,,,,
7,59.51,64.04,59.12,63.43,18202260.0,62.9935,1536724800000,110864,,,,,,,,
8,62.41,62.48,60.64,61.46,8938604.0,61.2124,1536811200000,61886,,,,,,,,
9,61.64,62.149,60.695,62.07,7372810.0,61.5477,1536897600000,44362,,,,,,,,
10,62.07,62.59,61.73,62.44,6050232.0,62.3617,1537156800000,39767,,,,,,,,
11,62.67,62.81,61.81,62.14,6421096.0,62.1641,1537243200000,38269,,,,,,,,
12,61.88,62.699,61.35,61.84,4491118.0,61.9901,1537329600000,32239,,,,,,,,
13,62.0,62.5,61.695,62.26,5076939.0,62.1452,1537416000000,35345,,,,,65.84745762711864,,,
14,62.45,62.645,62.15,62.55,9754857.0,62.4538,1537502400000,35267,,,,,66.72805791947161,,,
15,62.06,62.49,61.02,61.06,7323520.0,61.2386,1537761600000,37225,,,,,58.39667895101368,,,
16,61.6,61.81,60.68,60.71,8229394.0,60.9317,1537848000000,33951,,,,,56.60871738599565,,,
17,61.03,61.29,60.74,60.81,7455573.0,60.9223,1537934400000,33243,,,,,57.01368185184252,,,
18,60.79,61.495,60.633,60.77,4213685.0,60.9564,1538020800000,26605,,,,,56.78538722202109,,,
19,60.84,60.96,60.27,60.31,6649343.0,60.4541,1538107200000,38951,,,,,54.102417315498336,,,
20,60.34,60.66,59.6,60.33,5885657.0,60.2668,1538366400000,41919,,,,,54.203730544969495,,,
21,60.25,61.39,60.0599,61.29,9370436.0,60.8835,1538452800000,63368,,,,,58.894093946037216,,,
22,61.42,62.095,60.765,60.86,7324092.0,61.4193,1538539200000,48668,,,,,56.12149211630149,,,
23,60.45,61.91,60.02,61.78,6247542.0,61.3291,1538625600000,43410,,,,,60.4153407145332,,,
24,61.75,62.23,61.45,62.07,7177107.0,61.9656,1538712000000,46355,,61.12919999999998,,,61.688035180119634,,,
25,62.35,63.47,62.2,63.17,7689536.0,63.1173,1538971200000,43465,,61.31519999999998,,,66.13557930661833,0.5258421540362903,0.05190303753431641,0.4739391165019739
26,63.23,63.557,62.76,63.1,5837695.0,63.2124,1539057600000,46577,,61.47479999999999,,,65.61358037343297,0.6106691857576578,0.1093840554045471,0.5012851303531107
27,63.2,64.5,62.84,62.91,11685467.0,63.5055,1539144000000,81248,,61.56519999999998,,,64.13391853394997,0.6550132227386882,0.12298247390846195,0.5320307488302263
