,open,high,low,close,volume,vwap,timestamp,transactions,otc,sma25,sma100,sma200,rsi,macd,signal,histogram
0,41.29,41.575,41.09,41.52,19908473.0,41.4535,1535688000000,81088,,,,,,,,
1,41.48,41.55,41.22,41.37,14492242.0,41.3962,1536033600000,61793,,,,,,,,
2,41.29,41.92,41.26,41.85,20702243.0,41.7288,1536120000000,77528,,,,,,,,
3,41.85,41.91,41.45,41.78,17416386.0,41.6636,1536206400000,75371,,,,,,,,
4,41.59,42.35,41.46,42.2,20134502.0,42.0272,1536292800000,83842,,,,,,,,
5,42.38,42.72,42.05,42.06,20381730.0,42.2762,1536552000000,77279,,,,,,,,
6,42.0,42.425,41.95,42.31,18651812.0,42.2686,1536638400000,70332,,,,,,,,
7,42.3,42.79,42.28,42.41,16611605.0,42.5089,1536724800000,70873,,,,,,,,
8,42.5,42.92,42.43,42.85,17709927.0,42.7437,1536811200000,62344,,,,,,,,
9,42.75,43.0,42.5,42.96,15940052.0,42.8451,1536897600000,62900,,,,,,,,
10,43.02,43.18,42.74,43.01,16038336.0,42.9984,1537156800000,68256,,,,,,,,
11,43.0,43.6788,42.83,43.51,19416809.0,43.4092,1537243200000,77115,,,,,,,,
12,43.42,43.68,42.99,43.26,22564754.0,43.2968,1537329600000,89787,,,,,,,,
13,43.37,43.88,43.35,43.75,17476489.0,43.7006,1537416000000,65084,,,,,82.31884057971001,,,
14,43.78,44.195,43.61,44.06,35192533.0,43.9753,1537502400000,69818,,,,,83.87883716202468,,,
15,43.94,44.455,43.83,43.93,17163231.0,44.039,1537761600000,67125,,,,,80.6647116324534,,,
16,44.13,44.29,43.76,43.79,14533856.0,43.9537,1537848000000,57781,,,,,77.23245585373428,,,
17,43.84,44.31,43.64,43.68,17442877.0,43.935,1537934400000,76909,,,,,74.54844670964314,,,
18,43.79,44.18,43.68,43.9,14124842.0,43.9515,1538020800000,58179,,,,,76.32085906069959,,,
19,43.93,44.14,43.725,44.07,14663091.0,44.0036,1538107200000,52484,,,,,77.61792412825238,,,
20,44.03,44.52,43.91,44.27,16008454.0,44.311,1538366400000,75398,,,,,79.07044247054203,,,
21,44.21,44.39,44.13,44.22,17236963.0,44.2579,1538452800000,69416,,,,,77.71263685963211,,,
22,44.28,44.84,44.28,44.81,22730383.0,44.6979,1538539200000,83333,,,,,81.70494338325891,,,
23,44.53,44.79,44.29,44.7,17989424.0,44.5666,1538625600000,82941,,,,,78.86837385998462,,,
24,44.71,45.0,44.6,44.91,17184726.0,44.836,1538712000000,81765,,43.2472,,,80.27619381958812,,,
25,44.75,45.3193,44.7,45.28,23415464.0,45.1498,1538971200000,88777,,43.397600000000004,,,82.48967357634325,0.7413511486480147,0.09680475108922149,0.6445463975587932
26,44.99,45.81,44.79,45.47,20388278.0,45.3907,1539057600000,95844,,43.561600000000006,,,83.51288649872764,0.7782056997404467,0.10692744174532276,0.671278257995124
27,45.45,45.73,44.48,44.51,32017519.0,44.9521,1539144000000,140548,,43.66800000000001,,,63.36521003145025,0.7216307104283572,0.04028196194658662,0.6813487484817706
28,44.36,44.49,42.4038,42.81,42030078.0,43.254,1539230400000,214283,,43.70920000000001,,,43.39843533870455,0.5334693289396526,-0.11830353563369445,0.651772864573347
29,42.77,43.96,42.64,43.78,28858833.0,43.5228,1539316800000,138554,,43.772400000000005,,,52.58016627037298,0.45734893798480414,-0.15553914127083446,0.6128880792556386
30,43.65,43.71,42.98,43.12,22773943.0,43.3041,1539576000000,103655,,43.814800000000005,,,46.994211938415404,0.3398489286841695,-0.21843132045717528,0.5582802491413448
31,43.35,43.98,43.04,43.93,21208604.0,43.5836,1539662400000,99721,,43.87960000000001,,,53.52045257392779,0.3085329791901117,-0.19979781596098645,0.5083307951510981
32,43.77,44.795,43.75,44.57,21967918.0,44.4848,1539748800000,103188,,43.966,,,57.928143212931175,0.3315357768322045,-0.14143601465511496,0.47297179148731944
33,44.34,44.5,43.71,44.0,21346736.0,44.0345,1539835200000,104150,,44.01200000000001,,,53.09854094034436,0.3003096407759216,-0.13812972056911832,0.4384393613450399
34,44.05,44.83,43.98,44.5,18564048.0,44.522,1539921600000,85862,,44.073600000000006,,,56.52277474524206,0.31230842716173157,-0.10090474734664667,0.41321317450837824
35,44.44,44.51,44.02,44.37,17103412.0,44.2575,1540180800000,74329,,44.128,,,55.390452597162366,0.3077797449607331,-0.08434674363811612,0.39212648859884924
36,43.89,44.32,43.69,44.1,21891011.0,44.0177,1540267200000,106351,,44.1516,,,53.014978948487396,0.27918570910570395,-0.09035262359451629,0.36953833270022024
37,43.81,44.2853,42.355,42.48,35036492.0,43.3229,1540353600000,146850,,44.1204,,,41.51169782542055,0.12437060170810099,-0.19613418479369538,0.32050478650179637
38,42.39,43.94,41.66,43.41,36623229.0,43.3746,1540440000000,149279,,44.1068,,,48.42962585822777,0.0758474195395209,-0.1957258935698204,0.2715733131093413
39,43.05,43.28,42.18,42.6,28743487.0,42.662,1540526400000,141470,,44.0484,,,43.59332034580362,-0.027649061299563016,-0.23937789952712346,0.21172883822756045
40,42.95,43.68,42.56,43.23,30209018.0,43.2235,1540785600000,138313,,44.0204,,,47.94729716851643,-0.058164548437886765,-0.2159147093323578,0.15775016089447103
41,41.95,43.0885,41.78,42.89,33609278.0,42.7073,1540872000000,156431,,43.98440000000001,,,45.88864097240645,-0.10853235689738483,-0.21302601423348466,0.10449365733609985
42,43.01,43.66,42.71,43.06,26748820.0,43.1747,1540958400000,110247,,43.9596,,,47.11138782023751,-0.13319622555486177,-0.1901519063127693,0.05695568075790753
43,43.2,43.83,43.09,43.67,23034443.0,43.5766,1541044800000,102323,,43.9504,,,51.35874225426021,-0.10234089500951882,-0.1274372606139411,0.025096365604422265
44,43.76,43.84,42.48,42.93,22982165.0,42.9227,1541131200000,117676,,43.9048,,,46.48202130042241,-0.13603155176163995,-0.12890233389284977,-0.007129217868790179
45,42.83,43.6163,42.83,43.52,20520336.0,43.3766,1541394000000,90435,,43.87480000000001,,,50.51642685939037,-0.11381162127670308,-0.08534592272633032,-0.02846569855037276
46,43.58,43.59,42.685,43.01,21057175.0,43.1027,1541480400000,89306,,43.82640000000001,,,47.20389164494348,-0.1357896059819268,-0.08585912594524323,-0.04993048003668357
47,43.38,44.56,43.29,44.4,34910250.0,44.2993,1541566800000,117672,,43.81000000000001,,,55.72532363627258,-0.040578173987661614,0.007481844839217565,-0.04806001882687918
48,43.86,44.2,43.47,43.85,24380332.0,43.7965,1541653200000,105849,,43.776,,,52.13933637392654,-0.009394537251544932,0.030932385260267398,-0.04032692251181233
49,43.72,44.61,43.72,44.28,24708599.0,44.2656,1541739600000,100190,,43.7508,,,54.59919498995911,0.04944614152747562,0.07181845123143035,-0.02237230970395474
50,44.28,44.55,43.9,44.11,20734437.0,44.1904,1541998800000,92122,,43.70399999999999,,,53.43001367944598,0.08142164608052838,0.08303516462758649,-0.0016135185470581188
51,44.33,44.46,43.35,43.52,19127293.0,43.6754,1542085200000,91410,,43.626,,,49.47060255673491,0.058480270490122166,0.04807503122974423,0.010405239260377938
52,43.76,43.85,42.7123,42.91,26943915.0,43.0891,1542171600000,106505,,43.562,,,45.6998936280275,-0.008821152214494532,-0.015381113179897977,0.006559960965403444
53,42.7,43.385,42.345,43.21,24607572.0,42.9561,1542258000000,114490,,43.578,,,47.80689606291603,-0.03751803721424807,-0.03526239854372121,-0.002255638670526858
54,43.1,43.78,42.9136,43.51,23344004.0,43.4701,1542344400000,95745,,43.5672,,,49.900444036556124,-0.03564217176146656,-0.026709226472751757,-0.008932945288714798
55,43.62,44.27,43.51,44.18,22458961.0,43.9739,1542603600000,97813,,43.60960000000001,,,54.30846611484534,0.019680995436708315,0.02289115258033849,-0.0032101571436301754
56,44.01,44.39,43.4,43.53,21792853.0,43.8149,1542690000000,107644,,43.59360000000001,,,49.73644852518661,0.010949220501522916,0.011327502116122472,-0.00037828161459955685
57,43.5,43.5,42.773,43.1,18659455.0,43.1215,1542776400000,92021,,43.534800000000004,,,46.92222410357489,-0.030318685450552607,-0.023952323068762438,-0.006366362381790168
58,42.95,43.545,42.8,43.14,8390907.0,43.1809,1542949200000,44986,,43.500400000000006,,,47.22139413701087,-0.059114695122978844,-0.04219866619295094,-0.0169160289300279
59,43.32,43.49,42.875,43.34,19115679.0,43.26,1543208400000,87653,,43.45400000000001,,,48.77604602927652,-0.06504758366835262,-0.03850524379065977,-0.026542339877692847
60,43.2,44.15,42.97,44.07,18753355.0,43.7639,1543294800000,92022,,43.44200000000001,,,54.09156071139191,-0.01072095693132269,0.012657106357096128,-0.023378063288418818
61,44.29,44.92,44.1,44.9,18873604.0,44.6477,1543381200000,85301,,43.47400000000002,,,59.26711967100138,0.09817564187326155,0.0972429641293443,0.0009326777439172575
62,44.76,45.83,44.701,45.51,24729989.0,45.3882,1543467600000,108249,,43.59520000000001,,,62.603898967314386,0.23103564786689645,0.18408237609838335,0.0469532717685131
63,45.35,46.26,45.28,46.23,42746344.0,46.0586,1543554000000,107036,,43.70800000000001,,,66.13066298510412,0.3899312577152756,0.27438238875741,0.1155488689578656
64,46.37,46.38,45.76,45.99,25397519.0,46.0278,1543813200000,105819,,43.843600000000016,,,63.965168636799426,0.4908331599302116,0.3002274327778768,0.19060572715233481
65,46.23,46.47,45.11,45.14,27234498.0,45.613,1543899600000,108865,,43.920000000000016,,,56.86321320909235,0.49648754873189915,0.24470545726365145,0.2517820914682477
66,44.58,44.99,43.615,44.98,30539530.0,44.4854,1544072400000,138259,,44.00360000000001,,,55.61155663398924,0.4824961149015152,0.18457121874661397,0.29792489615490125
67,44.82,44.944,43.675,43.92,26532318.0,44.1223,1544158800000,114547,,44.03800000000002,,,48.063430946666536,0.38147722953694796,0.06684186670563735,0.3146353628313106
68,44.14,44.56,43.07,44.4,24846771.0,43.9484,1544418000000,130026,,44.06720000000002,,,51.287710359907436,0.33627465861556516,0.017311436627403642,0.3189632219881615
69,44.08,44.51,43.57,44.01,22680381.0,43.9829,1544504400000,112135,,44.11040000000002,,,48.6452533162745,0.26591623799493647,-0.04243758719458007,0.30835382518951654
70,44.35,44.845,44.15,44.16,19148619.0,44.4215,1544590800000,91403,,44.136000000000024,,,49.71829345871906,0.2197275467623072,-0.07090102274176746,0.2906285695040747
71,44.46,44.9,44.21,44.57,22406113.0,44.4998,1544677200000,93375,,44.19840000000002,,,52.631695996979005,0.21374236079073938,-0.061508966970668266,0.27525132776140765
72,44.08,44.12,43.425,43.8,31333134.0,43.7447,1544763600000,124863,,44.17440000000001,,,47.11088021749407,0.14519280071852592,-0.1040468216343054,0.2492396223528313
73,43.5,43.97,42.98,43.11,36672141.0,43.3298,1545022800000,138599,,44.14480000000001,,,42.780330081784115,0.0347885265796819,-0.17156087661851954,0.20634940319820144
74,43.47,43.5,42.04,42.4,29531234.0,42.6238,1545109200000,133403,,44.069600000000015,,,38.8254584951826,-0.10874517568384334,-0.25207566310563584,0.1433304874217925
75,42.83,42.99,41.56,41.97,35045603.0,42.3022,1545195600000,161937,,43.98400000000002,,,36.61759191322131,-0.25426308856058455,-0.31807486078590164,0.06381177222531709
76,41.71,42.41,41.53,41.95,32727892.0,41.9911,1545282000000,157477,,43.92120000000003,,,36.513586259835904,-0.3669707059020624,-0.34462598250190357,-0.0223447234001588
77,41.64,42.87,41.45,41.93,58757221.0,42.0525,1545368400000,153625,,43.882000000000026,,,36.40223889455331,-0.4526878339513445,-0.34427448844094855,-0.10841334551039594
78,41.81,41.96,40.52,40.55,18765195.0,41.0343,1545627600000,94457,,43.775600000000026,,,29.67735966854407,-0.6247717623779891,-0.41308673349407454,-0.2116850288839146
79,40.66,42.2,40.42,42.19,24134045.0,41.4413,1545800400000,120486,,43.72280000000003,,,43.12452827818856,-0.6216492360754629,-0.3279713657532386,-0.29367787032222425
