,open,high,low,close,volume,vwap,timestamp,transactions,otc,sma25,sma100,sma200,rsi,macd,signal,histogram
0,83.35,83.53,82.39,82.95,6675891.0,82.9067,1535688000000,38298,,,,,,,,
1,82.48,82.96,82.07,82.7,5801195.0,82.6484,1536033600000,41936,,,,,,,,
2,82.11,83.47,82.11,83.29,7652021.0,83.1354,1536120000000,49095,,,,,,,,
3,82.91,83.305,82.49,82.65,7541264.0,82.7986,1536206400000,54445,,,,,,,,
4,82.1,82.2,81.25,81.91,11110905.0,81.7407,1536292800000,69995,,,,,,,,
5,82.58,83.1,82.34,82.38,6783148.0,82.6636,1536552000000,46492,,,,,,,,
6,82.13,82.42,81.63,82.01,5175181.0,82.1464,1536638400000,36824,,,,,,,,
7,81.9,83.18,81.7,83.11,5925485.0,82.9323,1536724800000,40071,,,,,,,,
8,83.27,83.49,82.65,83.45,5328468.0,83.2312,1536811200000,34686,,,,,,,,
9,83.47,83.665,82.97,83.61,5004160.0,83.4428,1536897600000,33028,,,,,,,,
10,83.5,84.274,83.34,84.25,7098860.0,84.0933,1537156800000,39308,,,,,,,,
11,84.29,84.29,83.575,84.0,6023322.0,83.9963,1537243200000,40174,,,,,,,,
12,83.92,84.29,83.77,84.0,6157773.0,84.0668,1537329600000,39561,,,,,,,,
13,84.29,85.635,84.23,85.36,10053166.0,85.1711,1537416000000,52947,,,,,67.43849493487697,,,
14,85.81,86.28,85.52,85.82,17402789.0,85.8222,1537502400000,47990,,,,,69.61670302274848,,,
15,85.63,85.71,84.23,84.27,6389462.0,84.5029,1537761600000,44381,,,,,56.01841433540577,,,
16,84.28,84.41,83.08,83.12,5657351.0,83.5259,1537848000000,35982,,,,,48.45586860626244,,,
17,83.25,83.99,83.03,83.26,6581004.0,83.4283,1537934400000,38313,,,,,49.35228935519577,,,
18,83.04,83.63,82.81,82.86,6277599.0,83.0681,1538020800000,35049,,,,,46.845503556924974,,,
19,83.03,83.29,82.79,83.23,5125979.0,83.1292,1538107200000,30985,,,,,49.40550159711644,,,
20,83.31,83.72,83.17,83.67,4900030.0,83.5183,1538366400000,34263,,,,,52.34481197355965,,,
21,83.48,84.435,83.37,84.36,7390891.0,84.1635,1538452800000,40101,,,,,56.602626119356536,,,
22,84.44,84.52,82.85,83.03,7959318.0,83.4802,1538539200000,43782,,,,,47.74716230933044,,,
23,82.5,82.5,81.1,81.92,7030299.0,81.6863,1538625600000,53146,,,,,41.86090353667601,,,
24,81.98,82.45,81.98,82.15,5454710.0,82.1925,1538712000000,41064,,83.33439999999999,,,43.41745611222572,,,
25,81.98,82.74,81.75,82.4,7192580.0,82.3892,1538971200000,46512,,83.3124,,,45.13684129757091,-0.16032091534147241,-0.21706461270187205,0.05674369736039964
26,82.39,82.72,82.06,82.2,6268254.0,82.3566,1539057600000,42933,,83.2924,,,43.985316995011765,-0.21634255002386737,-0.21846899790741361,0.0021264478835462397
27,81.81,82.68,81.44,81.44,9295858.0,81.9776,1539144000000,61584,,83.2184,,,39.82725813022715,-0.31839548260951744,-0.25641754439445097,-0.0619779382150665
28,81.64,81.97,78.669,78.87,12560428.0,79.8506,1539230400000,97534,,83.0672,,,29.627635314258058,-0.5997372903890579,-0.4302074817391931,-0.16952980864986478
29,79.37,79.375,78.49,79.06,9879845.0,78.9498,1539316800000,67252,,82.9532,,,31.033828476639343,-0.7981704755110286,-0.5029125334889311,-0.29525794202209754
30,79.01,80.54,78.92,80.13,9691556.0,80.1156,1539576000000,62560,,82.86319999999999,,,38.48827806270914,-0.8591859855010568,-0.4511424347831674,-0.40804355071788945
31,79.91,81.09,79.9,81.01,9463322.0,80.7747,1539662400000,63751,,82.8232,,,43.862505788898694,-0.8269994365131765,-0.3351647086362296,-0.49183472787694693
32,80.76,82.1764,80.38,81.86,10375459.0,81.5349,1539748800000,71534,,82.7732,,,48.53936462407019,-0.7245512920182478,-0.18617325131304063,-0.5383780407052071
33,80.71,81.34,80.0,80.24,9869611.0,80.5722,1539835200000,72145,,82.64479999999999,,,41.45140456735667,-0.7652594261943904,-0.1815051083913466,-0.5837543178030438
34,84.86,87.76,84.86,87.3,30276644.0,86.4737,1539921600000,169333,,82.7924,,,65.25992137802886,-0.2252414751791747,0.2868102740990953,-0.51205174927827
35,86.73,87.24,85.23,86.6,14124141.0,86.0702,1540180800000,100457,,82.8864,,,62.544225689224575,0.14457591066100406,0.5253021279514193,-0.3807262172904152
36,86.01,87.3,86.01,87.16,16270631.0,86.8102,1540267200000,118845,,83.01279999999998,,,63.84060007527935,0.4773436527219843,0.6864558960099196,-0.20911224328793532
37,87.28,90.7,87.22,89.46,26704038.0,89.4793,1540353600000,163527,,83.23119999999999,,,68.64120072617801,0.9160950899182154,0.9001658665649206,0.01592922335329483
38,88.11,89.33,87.305,89.0,14657359.0,88.7029,1540440000000,98445,,83.37679999999999,,,66.7329759230629,1.2127112291469757,0.9574256046349447,0.255285624512031
39,88.69,89.17,87.385,87.86,14336145.0,88.1709,1540526400000,107022,,83.45839999999998,,,62.12369037155824,1.340342549293183,0.8680455398249216,0.4722970094682615
40,88.29,89.42,87.44,88.24,12879080.0,88.6169,1540785600000,89094,,83.61719999999997,,,63.04009525240852,1.4553774291878767,0.7864643357756922,0.6689130934121845
41,88.85,89.4323,88.205,89.19,13844480.0,88.9107,1540872000000,95593,,83.85999999999999,,,65.30040927792305,1.6047024498553526,0.7486314851545344,0.8560709647008182
42,88.77,89.32,87.27,88.68,13362491.0,88.4902,1540958400000,81001,,84.07679999999996,,,63.0704589857712,1.662724019325836,0.645322443700014,1.017401575625822
43,88.81,89.83,88.18,89.59,9732435.0,89.3818,1541044800000,60231,,84.34599999999996,,,65.34454449155656,1.7618266846451434,0.595540087215457,1.1662865974296863
44,89.88,89.95,88.9802,89.81,11336333.0,89.577,1541131200000,68384,,84.60919999999996,,,65.8913877990655,1.8369432835745698,0.5365253489159068,1.300417934658663
45,89.89,91.44,89.815,91.2,12270462.0,90.8893,1541394000000,68726,,84.91039999999995,,,69.19843831629115,1.9857446840625954,0.5482613995231458,1.4374832845394496
46,90.86,91.53,90.43,91.51,8857925.0,91.2344,1541480400000,54938,,85.19639999999995,,,69.89938301309165,2.10442675357244,0.5335547752263923,1.5708719783460479
47,91.59,91.62,90.62,91.29,9020091.0,91.162,1541566800000,61668,,85.52679999999995,,,68.70445542023909,2.1558793521505493,0.4680058990436011,1.6878734531069481
48,90.95,91.525,90.67,91.36,6615004.0,91.1332,1541653200000,49139,,85.90439999999995,,,68.88670823802263,2.177206837051912,0.391466707155971,1.7857401298959412
49,91.35,92.665,91.17,92.41,10713752.0,92.0557,1541739600000,61822,,86.31479999999993,,,71.5619751051765,2.2528656148287354,0.3737003879462353,1.8791652268825
50,92.21,93.45,91.75,92.7,12522241.0,92.8943,1541998800000,80030,,86.72679999999993,,,72.27113891355731,2.3096026559379084,0.34434994324432644,1.965252712693582
51,91.97,93.57,91.5869,93.47,13439250.0,92.9534,1542085200000,80361,,87.17759999999993,,,74.11676253916382,2.3891589969101688,0.3391250273732691,2.0500339695368996
52,93.42,93.9,92.985,93.49,11623017.0,93.5159,1542171600000,82020,,87.65959999999991,,,74.16486262350715,2.425858021923645,0.3006592419093961,2.125198780014249
53,93.33,93.9,92.72,93.83,12500254.0,93.4879,1542258000000,92011,,88.25799999999992,,,75.01490741201364,2.4540882207584502,0.2631115525953609,2.1909766681630893
54,93.82,94.81,93.665,93.82,13014383.0,94.2417,1542344400000,83902,,88.84839999999993,,,74.93681083364305,2.44744135977993,0.20517175329347248,2.2422696064864573
55,93.72,94.185,92.91,93.29,9458440.0,93.4284,1542603600000,64289,,89.37479999999992,,,70.73369528700859,2.3720634332607915,0.10383506141946697,2.2682283718413245
56,93.24,93.79,91.86,92.1,12074437.0,92.3466,1542690000000,82111,,89.81839999999991,,,62.28627235264615,2.19104581637815,-0.06174604437053954,2.2527918607486894
57,91.66,92.365,91.24,91.41,8912289.0,91.6876,1542776400000,61227,,90.2003999999999,,,57.96371359170896,1.969210979032752,-0.22686470537274994,2.196075684405502
58,91.25,91.99,90.63,91.54,4399746.0,91.4997,1542949200000,28595,,90.6523999999999,,,58.54739960971464,1.7833379756535095,-0.33019016700159387,2.1135281426551034
59,91.15,92.4,91.15,91.94,8171599.0,91.7676,1543208400000,57124,,90.83799999999991,,,60.37075798313064,1.6492968707192972,-0.37138501754864484,2.020681888267942
60,91.93,92.86,91.85,92.72,9024138.0,92.4639,1543294800000,58272,,91.08279999999989,,,63.72183820184811,1.587705727301099,-0.3463809287734745,1.9340866560745735
61,92.63,93.22,92.21,93.01,8093863.0,92.7853,1543381200000,57053,,91.31679999999992,,,64.90990717454781,1.5444909485284342,-0.31167656603691163,1.8561675145653458
62,92.86,93.3,92.66,92.82,6127012.0,92.9128,1543467600000,47889,,91.45119999999991,,,63.44393153060858,1.4778754842646293,-0.30263362424057316,1.7805091085052025
63,93.18,94.65,92.75,94.51,16291926.0,94.1885,1543554000000,66681,,91.67159999999993,,,69.94580672535238,1.5436568101631991,-0.1894818386736028,1.733138648836802
64,94.67,94.67,92.26,93.32,13932322.0,92.9952,1543813200000,92314,,91.88999999999993,,,61.63317352788386,1.4826745804807189,-0.2003712546848666,1.6830458351655855
65,93.49,94.86,93.17,93.31,11123681.0,93.7199,1543899600000,73247,,92.09279999999994,,,61.56695761834795,1.4172021830886905,-0.21267492166151603,1.6298771047502065
66,92.7,93.63,91.08,93.55,14199649.0,92.473,1544072400000,95653,,92.26719999999995,,,62.605330744937255,1.3689009921622954,-0.20878089007032896,1.5776818822326244
67,93.585,93.78,92.14,92.45,7996989.0,92.6912,1544158800000,57995,,92.41799999999994,,,55.238859391421194,1.2277088797024476,-0.27997840202414137,1.507687281726589
68,93.25,93.4,91.3664,93.03,9308167.0,92.6002,1544418000000,63530,,92.55559999999994,,,58.04223038744267,1.149365100656098,-0.2866577448563927,1.4360228455124908
69,93.72,94.52,93.4,93.91,8743999.0,93.9323,1544504400000,61801,,92.71959999999994,,,61.93732571996636,1.1450858994014652,-0.2327495568888207,1.377835456290286
70,94.21,94.55,93.1,94.03,9644134.0,93.9807,1544590800000,59088,,92.83279999999995,,,62.44925214232616,1.1382564864594968,-0.19166317586463122,1.329919662324128
71,94.87,96.79,94.8,96.49,18529797.0,96.1907,1544677200000,111581,,93.03199999999994,,,71.04632316041923,1.3161735391521603,-0.010996898537574129,1.3271704376897344
72,96.45,96.895,96.02,96.64,12658040.0,96.5707,1544763600000,79623,,93.24599999999992,,,71.47516378349265,1.4525339247187503,0.10029078962321258,1.3522431350955377
73,96.0,96.5,92.403,92.77,12427580.0,93.7979,1545022800000,92187,,93.30239999999992,,,50.63682644551913,1.2340979427584529,-0.09451615386966794,1.3286140966281208
74,93.13,93.31,91.86,92.49,12250874.0,92.5924,1545109200000,86561,,93.30559999999993,,,49.512089630829124,1.026558664097152,-0.24164434602477525,1.2682030101219273
75,92.55,93.35,91.29,91.76,10826689.0,92.2715,1545195600000,83675,,93.26799999999994,,,46.60557940707327,0.7940243726776544,-0.3793429099554184,1.1733672826330728
76,91.51,92.225,90.13,90.98,14439640.0,91.1907,1545282000000,103143,,93.16839999999995,,,43.656630564248054,0.5405684535008106,-0.5062390633058098,1.0468075168066204
77,90.61,93.17,90.36,90.97,24014980.0,91.3742,1545368400000,94991,,93.06759999999994,,,43.61852482586387,0.3350338335930303,-0.5694189465708721,0.9044527801639024
78,90.45,90.66,86.88,87.36,7396674.0,87.9291,1545627600000,54536,,92.80879999999996,,,32.56723552413443,-0.11779282113351996,-0.8177964810379379,0.7000036599044179
79,87.42,90.09,86.74,90.09,8631099.0,88.5877,1545800400000,70416,,92.65959999999995,,,44.101331613584875,-0.2534513931143323,-0.7627640424150002,0.5093126493006679
80,89.61,92.05,88.2,92.02,11360235.0,90.6788,1545886800000,73721,,92.60879999999996,,,50.541967948472085,-0.20288815015781836,-0.569760639566789,0.36687248940897066
81,92.56,93.28,90.84,91.18,9611961.0,91.7406,1545973200000,68317,,92.57199999999995,,,47.95230375153687,-0.22796950510461045,-0.4758735956108649,0.24790409050625445
82,91.63,92.18,91.15,91.92,7239793.0,91.6954,1546232400000,44766,,92.59239999999996,,,50.36507310632801,-0.18599085721272957,-0.34711595817518726,0.16112510096245766
83,91.03,91.39,89.93,91.28,9844075.0,90.9273,1546405200000,65041,,92.58199999999997,,,48.28049142820717,-0.2020361802921684,-0.29052902500370087,0.08849284471153246
84,90.94,92.5,90.38,90.64,9820489.0,91.2197,1546491600000,68916,,92.52999999999996,,,46.220303110126956,-0.26335902680406775,-0.28148149721248017,0.01812247040841241
85,90.84,92.49,90.37,92.49,10565854.0,91.9456,1546578000000,66506,,92.52079999999997,,,52.526441056949686,-0.1608244019708991,-0.1431574979034492,-0.01766690406744989
86,91.91,92.5,91.4,92.12,9012750.0,92.0623,1546837200000,58730,,92.48519999999995,,,51.232526586829565,-0.10817391924437914,-0.0724056121415434,-0.03576830710283574
87,92.7,93.09,91.82,92.46,9551435.0,92.4965,1546923600000,68178,,92.47079999999994,,,52.393065448556825,-0.03856828270089352,-0.0022399804784462227,-0.036328302222447297
88,92.69,92.96,90.81,90.95,15015652.0,91.4803,1547010000000,81456,,92.32839999999993,,,47.03914886417871,-0.10405026794231276,-0.05417757257589237,-0.04987269536642039
89,90.89,91.535,90.605,91.17,11102413.0,91.1364,1547096400000,60655,,92.24239999999992,,,47.87489646548658,-0.13661820204377761,-0.06939640534188578,-0.06722179670189184
90,91.67,91.98,91.11,91.77,7166881.0,91.5429,1547182800000,46047,,92.18079999999992,,,50.18379107486656,-0.11271423927948376,-0.03639395406207355,-0.07632028521741022
91,91.5,91.91,90.85,91.15,7952145.0,91.2688,1547442000000,45810,,92.08479999999992,,,47.826305027680114,-0.14216026002790727,-0.05267197984839764,-0.08948828017950963
92,91.15,92.61,91.14,92.01,7835028.0,92.0928,1547528400000,54755,,92.06719999999994,,,51.2474718479862,-0.0950064556566872,-0.004414540381742035,-0.09059191527494516
93,91.74,92.15,90.99,91.37,7964960.0,91.3551,1547614800000,53906,,92.00079999999993,,,48.68878128857447,-0.10803402823586339,-0.013953690368734575,-0.09408033786712881
94,90.71,91.56,90.345,90.64,8044943.0,90.8376,1547701200000,61509,,91.86999999999993,,,45.875252530100504,-0.1752432770858121,-0.06493035137494663,-0.11031292571086548
95,91.37,91.84,91.04,91.42,9101092.0,91.3862,1547787600000,58554,,91.76559999999992,,,49.24980799179528,-0.16368079938035862,-0.04269429893559451,-0.12098650044476411
96,91.39,91.75,89.08,90.44,13512327.0,90.1467,1548133200000,86290,,91.52359999999993,,,45.41831641487735,-0.23093320802277617,-0.08795736606240964,-0.14297584196036653
97,94.18,96.41,93.63,94.84,22869142.0,94.7143,1548219600000,136277,,91.45159999999994,,,60.337740758766095,0.07000502689298571,0.1703846950826818,-0.1003796681896961
98,94.29,94.56,93.19,94.3,12146663.0,93.8966,1548306000000,82834,,91.51279999999996,,,58.23392843803108,0.2619081451102545,0.2898302506399605,-0.027922105529705976
99,94.415,94.89,93.06,93.6,10618598.0,93.7621,1548392400000,75404,,91.55719999999995,88.62799999999999,,55.53095335347825,0.3534344269601206,0.3050852259918613,0.04834920096825934
100,93.32,93.97,92.97,93.52,9765685.0,93.436,1548651600000,69620,,91.62759999999994,88.73369999999998,,55.2155227891841,0.41473354320193323,0.29310747378693913,0.12162606941499413
101,93.79,94.12,93.1,93.54,9769909.0,93.4856,1548738000000,54651,,91.72999999999995,88.84209999999999,,55.283907211749124,0.4596290497366624,0.27040238425733465,0.1892266654793278
102,93.61,94.66,93.57,94.52,7750542.0,94.2427,1548824400000,54236,,91.87199999999996,88.95439999999999,,58.61831427153721,0.5677422921814212,0.30281250136167476,0.2649297908197465
103,94.43,96.81,94.08,96.47,16044471.0,96.1513,1548910800000,79460,,92.23639999999995,89.09259999999999,,64.31965540419802,0.8015319574337809,0.42928173329122754,0.3722502241425534
104,96.35,97.61,95.99,97.47,12721301.0,97.182,1548997200000,77665,,92.53159999999993,89.24819999999998,,66.84255506390274,1.0553383110368202,0.5464704695154134,0.5088678415214067
