,open,high,low,close,volume,vwap,timestamp,transactions,otc,sma25,sma100,sma200,rsi,macd,signal,histogram
0,78.33,78.74,77.48,77.89,7001628.0,77.9587,1535688000000,41481,,,,,,,,
1,78.0,78.17,77.32,77.64,5932411.0,77.7459,1536033600000,36800,,,,,,,,
2,77.46,78.95,77.28,78.79,6004200.0,78.5402,1536120000000,41201,,,,,,,,
3,78.73,79.11,78.17,78.62,4687207.0,78.5833,1536206400000,29941,,,,,,,,
4,78.42,78.89,78.12,78.6,4987610.0,78.616,1536292800000,27610,,,,,,,,
5,79.06,79.84,78.33,78.38,3773196.0,78.7662,1536552000000,26591,,,,,,,,
6,78.14,78.4114,77.17,77.45,4306988.0,77.5443,1536638400000,30842,,,,,,,,
7,77.76,81.57,77.35,80.05,9206430.0,80.2743,1536724800000,57119,,,,,,,,
8,80.46,80.59,79.065,79.78,4133048.0,79.6443,1536811200000,28074,,,,,,,,
9,79.95,80.0,78.6,79.33,3353843.0,79.1612,1536897600000,23364,,,,,,,,
10,79.54,80.49,79.11,80.3,4276834.0,80.1453,1537156800000,30963,,,,,,,,
11,80.5,80.95,79.58,80.33,4255983.0,80.2823,1537243200000,29325,,,,,,,,
12,80.12,81.1,80.03,80.91,4148046.0,80.7969,1537329600000,31195,,,,,,,,
13,80.96,82.75,80.89,82.55,5431660.0,82.1935,1537416000000,37932,,,,,75.10775862068964,,,
14,82.94,83.86,82.01,83.75,12838041.0,83.2508,1537502400000,48582,,,,,78.15046565774155,,,
15,83.51,83.75,80.845,81.61,7696861.0,81.5821,1537761600000,44997,,,,,63.29232693911592,,,
16,80.61,81.23,79.83,79.91,4876269.0,80.2498,1537848000000,33047,,,,,54.43801267241027,,,
17,80.13,81.23,79.95,80.5,5867488.0,80.6449,1537934400000,31941,,,,,56.701928107331966,,,
18,81.13,82.32,80.72,81.51,4945971.0,81.6708,1538020800000,34505,,,,,60.33534528497779,,,
19,81.54,82.29,81.07,81.54,5286421.0,81.5934,1538107200000,33422,,,,,60.44153213425146,,,
20,81.41,81.91,80.4527,81.82,3718424.0,81.4416,1538366400000,28881,,,,,61.478096455402586,,,
21,82.01,83.52,81.99,83.52,5404834.0,83.0504,1538452800000,36402,,,,,67.11266923906751,,,
22,83.56,83.99,82.54,82.91,5948731.0,83.087,1538539200000,37032,,,,,63.52225343500275,,,
23,82.26,83.85,82.05,83.82,5888296.0,83.1943,1538625600000,37753,,,,,66.40931065781352,,,
24,83.93,84.4,83.603,84.1,5448713.0,84.043,1538712000000,36811,,80.62439999999998,,,67.26774029060627,,,
25,84.1,85.31,84.1,84.89,6380402.0,84.834,1538971200000,40376,,80.90439999999998,,,69.62625137778574,1.3744276926985606,0.2836465210463479,1.0907811716522127
26,85.07,85.48,84.63,84.63,5369391.0,84.9154,1539057600000,38298,,81.18399999999997,,,67.89239156307599,1.428135300855132,0.26988330336233557,1.1582519974927965
27,84.75,86.22,84.03,84.62,6532423.0,85.1856,1539144000000,48107,,81.41719999999998,,,67.8224354479628,1.4531411442729194,0.23591131742409832,1.217229826848821
28,84.62,85.0,81.45,82.31,9618592.0,82.9197,1539230400000,58643,,81.56479999999998,,,53.98452478755706,1.2718990997224893,0.04373541829893446,1.2281636814235548
29,82.06,82.47,80.79,82.31,6419679.0,81.8489,1539316800000,46138,,81.71319999999997,,,53.98452478755706,1.1154057702345739,-0.09020632895118474,1.2056120991857586
30,82.36,84.86,82.27,83.49,4556733.0,83.8395,1539576000000,33338,,81.91759999999996,,,58.94682756130954,1.074216913567568,-0.10511614849455242,1.1793330620621205
31,82.65,83.78,81.82,83.5,4233130.0,83.3071,1539662400000,31889,,82.15959999999997,,,58.98719224244348,1.0305023744288349,-0.11906455010662853,1.1495669245354634
32,83.48,85.1228,83.02,84.56,5048710.0,84.5222,1539748800000,34331,,82.33999999999996,,,63.1259173016131,1.0690678793836383,-0.06439923612146004,1.1334671155050984
33,86.01,89.34,85.65,87.52,11167598.0,87.8075,1539835200000,74870,,82.64959999999995,,,71.71085920641997,1.3232252649820282,0.15180651958154368,1.1714187454004845
34,88.33,89.01,88.09,88.83,6814942.0,88.697,1539921600000,46144,,83.02959999999996,,,74.53639194707554,1.6117733560920726,0.3522836885532703,1.2594896675388023
35,89.09,89.7,87.13,87.51,5273279.0,87.7952,1540180800000,38128,,83.31799999999996,,,67.24776441769275,1.714176865012007,0.3637497579785638,1.3504271070334433
36,87.65,89.28,87.62,88.5,7462576.0,88.6531,1540267200000,56746,,83.64479999999996,,,69.64521927085912,1.853847114279617,0.4027360057969389,1.451111108482678
37,88.71,90.19,87.91,89.2,7649300.0,88.9365,1540353600000,59705,,83.97639999999996,,,71.24782859819862,1.9979893652524652,0.43750260541582975,1.5604867598366354
38,88.94,91.18,87.885,90.63,6933907.0,90.0615,1540440000000,52327,,84.29959999999996,,,74.23989282907792,2.202226292763939,0.5133916263418425,1.6888346664220963
39,90.38,91.21,88.39,89.0,7657241.0,89.0329,1540526400000,53717,,84.50959999999995,,,65.83051670023548,2.207115893603259,0.4146249817449299,1.792490911858329
40,89.25,90.67,88.86,90.46,8138914.0,90.0953,1540785600000,52959,,84.86359999999995,,,69.19625186327092,2.302261696043132,0.4078166273478425,1.8944450686952896
41,91.2,92.69,89.8675,90.47,6472530.0,90.8501,1540872000000,47605,,85.28599999999994,,,69.21861648165239,2.3513672484271666,0.36553774378550163,1.985829504641665
42,90.04,90.24,87.51,88.07,9510510.0,88.2275,1540958400000,61168,,85.58879999999995,,,58.28188725885782,2.171591060141992,0.14860924440026135,2.0229818157417307
43,88.33,89.13,87.35,88.35,5630411.0,88.1504,1541044800000,35993,,85.86239999999994,,,59.09393895970603,2.028329476042302,0.004278128240456702,2.024051347801845
44,88.18,88.79,87.07,88.75,5850391.0,88.2317,1541131200000,40417,,86.15079999999995,,,60.28331360985611,1.9248814602828048,-0.07933591001523244,2.0042173702980373
45,88.69,90.13,88.65,89.55,4633537.0,89.5911,1541394000000,31531,,86.45999999999995,,,62.62397609070324,1.8857141378469322,-0.09480258596088409,1.9805167238078163
46,88.76,89.43,88.39,88.77,6557509.0,88.799,1541480400000,28971,,86.66999999999994,,,58.974588393286545,1.7713156471880893,-0.16736086129578176,1.938676508483871
47,89.28,89.72,88.08,89.07,5779366.0,88.699,1541566800000,42087,,86.91639999999995,,,59.941496979107264,1.6854328907210316,-0.20259489421027155,1.8880277849313032
48,88.8,89.92,88.5,89.48,3600776.0,89.4394,1541653200000,26067,,87.14279999999995,,,61.284463053761996,1.6316451710876265,-0.20510609107494138,1.836751262162568
49,90.14,90.875,89.02,89.18,5183385.0,89.5465,1541739600000,33271,,87.34599999999995,,,59.70714698714304,1.546977924410882,-0.23181867020134872,1.7787965946122308
50,88.07,88.77,87.39,87.96,5233647.0,88.1503,1541998800000,41231,,87.46879999999996,,,53.65885182967703,1.3656918716081918,-0.3304837784032313,1.6961756500114231
51,87.61,88.5,86.31,86.4,7054613.0,86.8623,1542085200000,41873,,87.53959999999995,,,47.09006195195207,1.083650754778617,-0.4900199161862451,1.573670670964862
52,87.05,87.05,85.185,85.5,6219134.0,85.8278,1542171600000,46022,,87.57479999999995,,,43.761627178073766,0.778534201652576,-0.6361091754498289,1.414643377102405
53,84.82,85.84,84.39,85.83,6378033.0,85.4457,1542258000000,42019,,87.71559999999995,,,45.28864591568861,0.5569353728312763,-0.686166403416903,1.2431017762481793
54,85.7,86.445,85.53,86.33,5196787.0,86.116,1542344400000,27236,,87.87639999999996,,,47.609792081998556,0.4168572548336158,-0.6609956171316509,1.0778528719652667
55,86.92,87.67,86.3,87.63,5403024.0,87.1601,1542603600000,37501,,88.04199999999997,,,53.17247450307215,0.4060626352646892,-0.5374321893604621,0.9434948246251513
56,88.32,88.97,86.54,86.55,4949592.0,87.3275,1542690000000,37892,,88.16399999999997,,,48.55957388610843,0.3068239716677965,-0.5093366823658839,0.8161606540336804
57,86.42,86.42,83.6175,83.95,5915773.0,84.3864,1542776400000,40257,,88.13959999999997,,,39.64316757717568,0.018168905070012897,-0.6383933991709341,0.656562304240947
58,83.05,84.65,83.05,84.05,2521317.0,84.1299,1542949200000,16361,,88.00079999999998,,,40.098745048655026,-0.20021519445896274,-0.6854219989599277,0.48520680450096504
59,84.05,84.24,82.83,83.84,4347999.0,83.5884,1543208400000,33573,,87.8012,,,39.42573800433039,-0.3857843300505124,-0.696792907641182,0.3110085775906696
60,84.2,85.27,84.01,85.05,4976113.0,84.7907,1543294800000,33213,,87.70279999999998,,,45.139228374621545,-0.4302526348011355,-0.5930089699134441,0.16275633511230855
61,85.05,86.5,84.75,86.39,4754797.0,85.8813,1543381200000,30337,,87.61839999999998,,,50.68654449216701,-0.3532947238815183,-0.4128408471950615,0.0595461233135432
62,86.5,87.14,86.27,86.96,4269596.0,86.843,1543467600000,27103,,87.52879999999999,,,52.86965808888583,-0.24350382815953253,-0.2424399611784606,-0.0010638669810719426
63,87.22,87.3653,86.02,86.53,5651751.0,86.5839,1543554000000,31496,,87.3648,,,51.03417543586885,-0.1890123420165537,-0.1503587800283854,-0.0386535619881683
64,86.53,87.14,85.03,87.08,6580403.0,86.5507,1543813200000,36258,,87.288,,,53.26892308599463,-0.1002909515396766,-0.04930991164120664,-0.05098103989846996
65,87.41,88.52,85.23,85.43,5325144.0,86.5469,1543899600000,35604,,87.08679999999998,,,46.42378928775854,-0.16126090542201155,-0.08822389241883327,-0.07303701300317827
66,85.53,85.7,83.69,85.29,6413126.0,84.6994,1544072400000,43537,,86.8796,,,45.885013999517064,-0.21835974786063161,-0.11625818788596266,-0.10210155997466895
67,85.0,85.75,84.17,84.56,4780887.0,84.871,1544158800000,32863,,86.73919999999998,,,43.0776508110985,-0.3188404962343441,-0.1733911490077401,-0.14544934722660396
68,85.13,85.22,83.278,84.22,5432087.0,83.9805,1544418000000,37980,,86.57399999999998,,,41.79504480918408,-0.42105372648460104,-0.22048350340639766,-0.20057022307820338
69,84.65,85.54,83.68,84.33,4989080.0,84.4917,1544504400000,31049,,86.39719999999997,,,42.392654418540445,-0.4875620552962374,-0.22959346577442719,-0.25796858952181023
70,85.41,85.79,83.73,83.82,7762552.0,84.0343,1544590800000,37571,,86.16799999999998,,,40.3253794324508,-0.5747972182649335,-0.2534629029944986,-0.3213343152704349
71,83.59,84.875,83.56,84.34,3992827.0,84.3302,1544677200000,27843,,85.99079999999998,,,43.35830485909369,-0.5951119787872443,-0.2190221308134475,-0.3760898479737968
72,83.89,83.93,82.17,82.5,5677006.0,82.6648,1544763600000,35440,,85.72799999999998,,,36.32340687462963,-0.7510268255920494,-0.29994958209460204,-0.4510772434974473
73,82.63,82.78,80.96,81.4,8359522.0,81.671,1545022800000,50052,,85.40479999999998,,,32.88796892876968,-0.9523729098340681,-0.40103653306929654,-0.5513363767647715
74,80.06,80.33,75.14,75.17,13641782.0,76.9519,1545109200000,82088,,84.8444,,,20.856528923959715,-1.596249495381727,-0.8359304948935643,-0.7603190004881627
75,74.75,74.77,71.61,72.04,13595699.0,72.7247,1545195600000,94950,,84.20759999999999,,,17.41040822221015,-2.332206939951746,-1.2575103515708665,-1.0746965883808794
76,71.49,71.5,68.74,69.08,19218694.0,69.5196,1545282000000,120010,,83.51479999999998,,,14.90265816335048,-3.1183592747008646,-1.634930149055988,-1.4834291256448766
77,68.95,71.35,66.11,66.21,21310398.0,67.8941,1545368400000,75904,,82.74319999999997,,,12.954318254367493,-3.9276996022142896,-1.9554163812555303,-1.9722832209587593
78,66.43,67.04,65.71,65.97,6647274.0,66.3618,1545627600000,45468,,81.94879999999998,,,12.803572125813517,-4.536183339129764,-2.0511200945368033,-2.4850632445929604
79,66.05,66.87,64.75,66.86,9326329.0,66.1729,1545800400000,53425,,81.16999999999999,,,16.675845150210563,-4.890224063617623,-1.92412865521973,-2.966095408397893
80,66.48,66.99,64.67,66.68,11010052.0,66.0569,1545886800000,62582,,80.33199999999997,,,16.51609479750067,-5.126236322819011,-1.7281127315368945,-3.3981235912821166
81,67.65,69.0759,66.9,67.27,8260528.0,67.6861,1545973200000,56381,,79.56079999999997,,,19.246818764894925,-5.205662037887691,-1.4460307572844595,-3.759631280603232
82,66.97,67.33,65.69,66.76,6664324.0,66.444,1546232400000,46504,,78.87319999999997,,,18.678083438498646,-5.249250139005454,-1.1916950867217775,-4.057555052283677
83,66.13,67.77,65.735,67.31,6472104.0,66.9367,1546405200000,35981,,78.20359999999997,,,21.376330747446374,-5.179705202399646,-0.8977201200927754,-4.28198508230687
84,67.02,68.26,66.29,66.44,6175298.0,66.9457,1546491600000,39409,,77.50759999999997,,,20.23274134213254,-5.135592158592814,-0.682885661028755,-4.452706497564059
85,67.03,69.57,66.95,69.55,7221072.0,68.9005,1546578000000,46867,,76.88759999999998,,,33.855277810953766,-4.794414222179,-0.2733661796919522,-4.521048042487048
86,69.19,69.3,67.34,67.42,7807552.0,67.7514,1546837200000,49786,,76.12879999999997,,,30.067887013341533,-4.642386901943922,-0.09707108756549943,-4.545315814378423
87,67.68,68.28,67.51,67.87,7257823.0,67.9089,1546923600000,48441,,75.36519999999997,,,31.80365794778008,-4.434475048176338,0.08867261296166795,-4.523147661138006
88,68.25,68.7136,67.8,67.91,5924140.0,68.1764,1547010000000,35022,,74.62039999999998,,,31.965308926827092,-4.217854934276659,0.2442341814890785,-4.462089115765737
89,68.18,68.72,67.9689,68.15,8988357.0,68.2839,1547096400000,34570,,73.86319999999998,,,32.991627672725286,-3.980926298779437,0.3849302535890402,-4.365856552368477
90,68.46,69.52,67.83,69.5,7150520.0,69.004,1547182800000,42505,,73.22599999999997,,,38.6022556225658,-3.6422394612955316,0.5788936728583565,-4.221133134153888
91,69.24,69.92,68.99,69.62,8408841.0,69.5257,1547442000000,51002,,72.59919999999998,,,39.09045800768517,-3.3258068739643107,0.7162610081516618,-4.042067882115973
92,69.35,70.66,69.2,70.5,6639289.0,70.201,1547528400000,39515,,72.03679999999999,,,42.6893508653241,-2.9697892414516502,0.857822912531458,-3.8276121539831083
93,70.4,71.05,69.36,70.75,7360813.0,70.4169,1547614800000,43814,,71.49799999999999,,,43.706958410298135,-2.6370712759052566,0.9524327024622816,-3.589503978367538
94,70.61,72.75,70.31,72.52,7974577.0,72.1095,1547701200000,48666,,71.02559999999998,,,50.419320913822126,-2.20514613166344,1.1074862773632788,-3.312632409026719
95,73.26,74.19,72.66,73.79,8715837.0,73.6712,1547787600000,54259,,70.62439999999998,,,54.602158748919244,-1.740302829118832,1.2578636639263094,-2.9981664930451415
