,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,51.0,53.3,48.05,49.93,18975069.0,50.1291,1585886400000,67630,
1,54.48,58.9,52.64,57.56,28995286.0,56.5116,1586145600000,182148,
2,62.42,64.49,57.22,57.76,27458596.0,59.8597,1586232000000,183790,
3,58.35,63.98,57.9,62.62,26770558.0,61.3728,1586318400000,172710,
4,67.0,68.1,63.51,64.71,25014739.0,65.9588,1586404800000,206748,
5,64.23,64.4,60.09,61.83,15423032.0,61.6018,1586750400000,142769,
6,63.63,65.34,62.6,65.07,17027920.0,64.3447,1586836800000,121306,
7,65.0,65.105,61.23,62.33,17012047.0,62.6372,1586923200000,132951,
8,62.46,62.72,61.3,62.45,14305222.0,62.1024,1587009600000,99058,
9,64.75,66.5,64.1801,66.07,14665002.0,65.4631,1587096000000,109390,
10,64.5,66.93,63.72,64.98,10833989.0,65.6053,1587355200000,85462,
11,63.62,64.5478,62.15,62.65,10088613.0,63.0598,1587441600000,89993,
12,64.32,64.9,63.1004,63.45,9559439.0,63.6525,1587528000000,70584,
13,63.89,64.877,63.25,63.29,9419746.0,63.9568,1587614400000,71656,
14,63.98,64.08,62.5,63.43,8656067.0,63.0736,1587700800000,81979,
15,64.43,65.42,63.84,65.07,8455371.0,64.8838,1587960000000,62189,
16,66.52,67.29,64.81,65.39,10652029.0,65.7727,1588046400000,81965,
17,67.35,68.79,66.06,67.9,10444432.0,67.5097,1588132800000,81442,
18,67.45,67.45,64.7,64.81,12623260.0,65.1872,1588219200000,81991,
19,63.5,63.61,60.215,61.11,13782116.0,61.3219,1588305600000,120499,
20,60.02,60.03,57.57,58.85,15853664.0,58.5491,1588564800000,128170,
21,60.26,60.47,58.87,59.0,12961903.0,59.5341,1588651200000,96403,
22,59.3,59.3927,57.75,57.92,8895751.0,58.3511,1588737600000,72489,
23,58.63,59.24,56.44,57.01,27069199.0,57.542,1588824000000,155417,
24,57.72,58.75,57.35,58.67,10331963.0,58.0857,1588910400000,85160,
25,57.72,57.9299,56.33,57.36,10794766.0,57.2129,1589169600000,84998,
26,57.38,58.44,56.72,56.72,11028548.0,57.5842,1589256000000,79079,
27,56.09,56.09,53.18,54.1,14165152.0,54.3334,1589342400000,130613,
28,52.67,53.91,51.13,53.86,16888579.0,52.7037,1589428800000,126579,
29,53.04,53.27,51.66,52.73,22337255.0,52.3465,1589515200000,127035,
30,55.65,58.62,55.5156,57.9,20016200.0,57.4069,1589774400000,106698,
31,57.89,60.14,57.4,57.94,14610381.0,58.8135,1589860800000,115627,
32,58.71,59.065,57.69,57.8,10485289.0,58.2957,1589947200000,68832,
33,58.3,60.21,58.2,60.1,10435639.0,59.695,1590033600000,77232,
34,60.39,60.77,59.33,60.0,6618745.0,59.9544,1590120000000,59307,
35,62.56,65.55,62.36,64.47,16097126.0,64.5623,1590465600000,121879,
36,67.0,67.989,65.17,66.65,14150937.0,66.5361,1590552000000,105382,
37,68.78,68.78,66.14,67.27,12865301.0,67.6407,1590638400000,99095,
38,65.6,66.6,64.14,64.52,14075652.0,64.9246,1590724800000,87617,
39,65.0,66.035,64.07,64.12,11431636.0,64.7588,1590984000000,91637,
40,63.7,64.2,62.56,63.4,15076415.0,63.2913,1591070400000,120569,
41,64.5,67.73,64.4375,67.47,15997277.0,66.2731,1591156800000,95065,
42,67.1,67.83,66.31,67.51,10296602.0,67.2741,1591243200000,82728,
43,71.03,73.74,71.0,72.07,14421540.0,72.3143,1591329600000,122923,
44,72.5,74.93,72.5,74.16,12161109.0,73.6847,1591588800000,101393,
45,72.65,72.65,70.51,70.54,10080419.0,71.1972,1591675200000,92620,
46,70.14,70.2899,68.05,68.36,9894760.0,68.9769,1591761600000,91278,
47,63.99,65.71,62.82,62.85,14012486.0,63.941,1591848000000,126693,
