,open,high,low,close,volume,vwap,timestamp,transactions,otc,sma25,sma100,sma200,rsi,macd,signal,histogram
0,86.8,87.59,86.8,87.5,3469455.0,87.3033,1535688000000,29777,,,,,,,,
1,87.41,88.98,87.41,88.95,3562737.0,88.5177,1536033600000,28387,,,,,,,,
2,88.93,89.42,88.1501,88.6,7114139.0,88.8307,1536120000000,40927,,,,,,,,
3,89.2,90.195,88.8,88.88,4505146.0,89.4023,1536206400000,36755,,,,,,,,
4,88.98,89.99,88.21,88.74,4614946.0,88.9503,1536292800000,37171,,,,,,,,
5,89.4,90.39,88.92,89.26,4156262.0,89.3046,1536552000000,34244,,,,,,,,
6,89.39,89.83,88.725,88.8,3072788.0,89.1017,1536638400000,25253,,,,,,,,
7,88.94,89.2,88.27,88.65,2920657.0,88.6444,1536724800000,26281,,,,,,,,
8,88.63,88.94,87.95,88.08,3756676.0,88.2505,1536811200000,25755,,,,,,,,
9,88.12,88.519,87.54,87.94,3433402.0,87.9301,1536897600000,24293,,,,,,,,
10,88.18,88.21,87.14,87.28,2857487.0,87.4831,1537156800000,25342,,,,,,,,
11,86.96,87.97,86.65,87.68,5014267.0,87.589,1537243200000,35014,,,,,,,,
12,87.68,87.94,86.3774,87.16,3218666.0,87.3583,1537329600000,25079,,,,,,,,
13,87.37,87.64,86.72,87.38,3242287.0,87.3509,1537416000000,25827,,,,,48.97610921501703,,,
14,87.53,88.655,87.06,87.31,6707599.0,87.5332,1537502400000,31921,,,,,48.35406946604461,,,
15,87.21,88.53,87.04,87.24,3475793.0,87.5023,1537761600000,27277,,,,,47.70161290322577,,,
16,87.42,87.99,86.86,87.31,2949826.0,87.3108,1537848000000,26694,,,,,48.450689311642876,,,
17,87.45,88.37,87.26,87.89,3880292.0,87.9542,1537934400000,28119,,,,,54.292409954107825,,,
18,87.84,88.24,87.38,87.51,3075925.0,87.7772,1538020800000,23634,,,,,50.27273683523827,,,
19,87.66,88.29,87.48,88.21,3924144.0,88.0764,1538107200000,24984,,,,,56.64111507038589,,,
20,88.33,88.79,88.205,88.47,3154924.0,88.4789,1538366400000,25411,,,,,58.75400127295024,,,
21,88.36,89.39,86.42,86.62,4258886.0,87.6543,1538452800000,35449,,,,,42.77978222290613,,,
22,86.73,86.75,85.65,85.97,4270859.0,86.2675,1538539200000,32612,,,,,38.78934115114156,,,
23,85.84,86.52,84.4176,84.84,5473479.0,84.9906,1538625600000,47247,,,,,33.022454073787856,,,
24,84.85,85.23,83.81,84.52,5075326.0,84.4972,1538712000000,39221,,87.63159999999999,,,31.590144562189664,,,
25,84.39,85.56,84.17,85.4,3732138.0,85.0551,1538971200000,28068,,87.5476,,,39.377321286349925,-0.6233396265303952,-0.32202366975529423,-0.301315956775101
26,85.49,86.8,85.49,85.66,3330942.0,85.8901,1539057600000,28929,,87.416,,,41.49626919061818,-0.6388458029684756,-0.27002387695469965,-0.36882192601377595
27,85.67,86.81,85.065,85.2,4952801.0,85.8448,1539144000000,44224,,87.28,,,38.90529528048968,-0.6804093793462442,-0.24926996266597462,-0.4311394166802696
28,85.42,86.13,82.7,82.8,5091538.0,84.1397,1539230400000,47437,,87.0368,,,28.80110990436681,-0.8966724733248697,-0.37242644531568003,-0.5242460280091896
29,84.09,85.76,83.77,84.61,5129377.0,84.9244,1539316800000,45249,,86.87160000000002,,,41.2032805219729,-0.9115034162047095,-0.30980591055641593,-0.6016975056482936
30,84.56,85.31,84.32,84.6,3345660.0,84.7867,1539576000000,25959,,86.68520000000001,,,41.16062134143016,-0.9135333182763219,-0.24946865010242258,-0.6640646681738993
31,85.14,86.073,84.55,85.81,2691958.0,85.5592,1539662400000,24445,,86.56559999999999,,,48.15512070477622,-0.8081888447623271,-0.11529934127074226,-0.6928895034915848
32,85.56,85.95,83.54,84.42,4192025.0,84.3391,1539748800000,32931,,86.3964,,,41.981243730488146,-0.8273270624392524,-0.10755004715813399,-0.7197770152811184
33,83.59,84.58,82.0,83.36,4234694.0,83.5519,1539835200000,39273,,86.2076,,,37.982073311152796,-0.9174515684546378,-0.15813964253881552,-0.7593119259158223
34,83.73,83.77,81.92,82.02,5464700.0,82.4885,1539921600000,46066,,85.9708,,,33.62175134252304,-1.0845012347806033,-0.2601514470918248,-0.8243497876887785
35,82.5,83.78,82.5,83.23,3420544.0,83.2662,1540180800000,30120,,85.80879999999999,,,40.28779640457815,-1.10649739802993,-0.22571808827292106,-0.8807793097570089
36,81.28,82.9509,81.07,82.67,4517692.0,82.1934,1540267200000,39082,,85.6084,,,38.36739460481661,-1.1557935669799235,-0.22001140577833167,-0.9357821612015919
37,82.59,84.3,82.11,82.27,5099006.0,83.1352,1540353600000,43638,,85.4128,,,37.010337015751034,-1.2131533168184632,-0.22189692449349696,-0.9912563923249662
38,83.18,84.58,82.65,83.83,5311796.0,83.9103,1540440000000,46299,,85.2708,,,45.15743628690099,-1.1198237382951817,-0.10285387677617241,-1.0169698615190093
