,open,high,low,close,volume,vwap,timestamp,transactions,otc,sma25,sma100,sma200,rsi,macd,signal,histogram
0,66.13,66.38,65.7,66.04,2375234.0,66.0586,1535688000000,15706,,,,,,,,
1,65.74,66.295,65.53,65.77,2104033.0,65.8637,1536033600000,19306,,,,,,,,
2,65.63,66.03,65.43,65.71,3141149.0,65.7071,1536120000000,21414,,,,,,,,
3,65.5,65.96,65.37,65.52,2277532.0,65.5482,1536206400000,17915,,,,,,,,
4,65.33,65.64,64.07,64.39,2843057.0,64.5969,1536292800000,21644,,,,,,,,
5,64.98,65.8,64.59,65.56,2171552.0,65.484,1536552000000,16868,,,,,,,,
6,65.56,66.02,65.24,65.91,1375418.0,65.8572,1536638400000,12638,,,,,,,,
7,66.0,68.32,65.62,67.92,5020278.0,67.4996,1536724800000,32576,,,,,,,,
8,68.0,68.71,67.37,68.48,3797293.0,68.3545,1536811200000,22968,,,,,,,,
9,68.58,68.65,67.9,68.25,3161655.0,68.2149,1536897600000,19246,,,,,,,,
10,68.03,68.18,67.32,67.42,2757336.0,67.5588,1537156800000,21040,,,,,,,,
11,67.43,68.58,67.08,68.49,4113065.0,68.0971,1537243200000,28022,,,,,,,,
12,68.61,68.87,67.72,68.35,2847165.0,68.1158,1537329600000,16440,,,,,,,,
13,68.78,69.15,68.34,69.13,1875253.0,68.887,1537416000000,15810,,,,,67.57679180887365,,,
14,69.34,69.77,68.89,69.07,4046051.0,69.2793,1537502400000,15275,,,,,67.08365910867856,,,
15,68.7,69.34,68.5,68.92,2749308.0,68.9153,1537761600000,15485,,,,,65.79107764298773,,,
16,69.51,69.545,68.56,69.45,2610892.0,69.2632,1537848000000,17442,,,,,68.12787721622855,,,
17,69.47,69.49,68.69,68.79,2427660.0,68.9961,1537934400000,18645,,,,,62.410552630708814,,,
18,69.08,70.63,68.87,70.49,3661016.0,70.0522,1538020800000,25433,,,,,69.50854873178307,,,
19,70.45,70.88,69.98,70.18,3703758.0,70.3289,1538107200000,28434,,,,,67.02317188367331,,,
20,70.71,70.94,69.97,70.25,2684371.0,70.3983,1538366400000,21905,,,,,67.30743729717165,,,
21,70.16,70.58,69.57,69.72,2272271.0,70.0012,1538452800000,18694,,,,,62.887253932555204,,,
22,69.82,69.98,68.75,68.98,5561975.0,69.4944,1538539200000,22855,,,,,57.23550000102274,,,
23,68.53,68.99,68.26,68.95,2890632.0,68.717,1538625600000,24384,,,,,57.011803284016764,,,
24,68.95,69.73,68.12,68.59,2933643.0,68.6705,1538712000000,22774,,68.01320000000001,,,54.270699507065515,,,
