,open,high,low,close,volume,vwap,timestamp,transactions,otc,sma25,sma100,sma200,rsi,macd,signal,histogram
0,112.63,113.43,111.86,112.4,6550289.0,112.3429,1535688000000,54809,,,,,,,,
1,111.02,112.66,110.65,112.54,6160284.0,112.2111,1536033600000,48900,,,,,,,,
2,112.38,112.95,110.845,111.13,5369277.0,111.4007,1536120000000,55140,,,,,,,,
3,110.99,111.74,110.34,110.89,4813091.0,110.9681,1536206400000,48809,,,,,,,,
4,110.45,111.0,108.25,108.46,5349260.0,109.2338,1536292800000,51718,,,,,,,,
5,109.17,109.48,107.49,108.32,5138926.0,108.214,1536552000000,48934,,,,,,,,
6,108.06,108.15,105.91,106.05,8165577.0,106.468,1536638400000,72018,,,,,,,,
7,105.0,105.0,102.25,104.54,10182325.0,103.6263,1536724800000,84879,,,,,,,,
8,105.15,106.92,104.6,105.72,6311079.0,105.7121,1536811200000,50285,,,,,,,,
9,105.96,107.16,105.13,105.36,6484969.0,105.8456,1536897600000,50678,,,,,,,,
10,105.29,105.67,103.35,103.7,5598298.0,104.6045,1537156800000,50097,,,,,,,,
11,104.03,105.89,103.96,104.91,5654930.0,105.2048,1537243200000,48937,,,,,,,,
12,105.12,107.51,105.1,107.37,6588931.0,106.8923,1537329600000,59724,,,,,,,,
13,107.88,108.9819,107.8,108.49,5562474.0,108.4864,1537416000000,40143,,,,,37.879727216366966,,,
14,110.5,110.9,109.54,110.05,10924000.0,110.1589,1537502400000,56609,,,,,43.739472206625464,,,
15,109.01,110.32,108.36,109.8,3531215.0,109.7096,1537761600000,31424,,,,,43.03881473344903,,,
16,109.25,109.56,106.81,107.55,6523804.0,107.6866,1537848000000,42652,,,,,37.25465867442814,,,
17,107.48,108.22,105.98,106.22,6478602.0,106.8265,1537934400000,41070,,,,,34.318610349971294,,,
18,106.44,107.68,106.12,107.29,4704201.0,107.2735,1538020800000,35902,,,,,38.516744260532,,,
19,107.22,107.46,106.06,107.29,4556399.0,107.0112,1538107200000,36044,,,,,38.51674426053201,,,
20,107.67,108.62,107.43,107.74,3666125.0,108.0554,1538366400000,33460,,,,,40.37556012212776,,,
21,107.25,109.85,107.25,108.46,4718447.0,108.875,1538452800000,40116,,,,,43.327816856876346,,,
22,109.03,109.2,107.41,108.18,5353386.0,108.3649,1538539200000,45593,,,,,42.447593076622795,,,
