,open,high,low,close,volume,vwap,timestamp,transactions,otc,sma25,sma100,sma200,rsi,macd,signal,histogram
0,149.39,150.81,149.0,150.62,3622210.0,150.3727,1535688000000,32374,,,,,,,,
1,149.81,151.71,149.71,151.27,6145978.0,151.2418,1536033600000,50589,,,,,,,,
2,151.0,154.29,150.43,154.17,5658182.0,153.2757,1536120000000,62582,,,,,,,,
3,154.81,155.96,154.25,154.65,3925075.0,155.0868,1536206400000,44308,,,,,,,,
4,154.18,156.6,154.06,155.1,5445931.0,155.3149,1536292800000,49664,,,,,,,,
5,155.94,156.91,155.91,155.96,4210384.0,156.2522,1536552000000,44237,,,,,,,,
6,155.96,156.81,154.825,156.3,3608313.0,156.3065,1536638400000,40192,,,,,,,,
7,156.46,157.69,156.06,156.99,4142877.0,157.2041,1536724800000,50954,,,,,,,,
8,157.62,157.95,156.07,156.63,3328803.0,156.8452,1536811200000,35023,,,,,,,,
9,157.1,157.8,156.15,157.41,2585118.0,157.2424,1536897600000,30136,,,,,,,,
10,157.5,157.85,156.27,156.71,2685772.0,156.7546,1537156800000,34160,,,,,,,,
11,164.0,164.58,162.85,163.7,10399894.0,163.7816,1537243200000,74904,,,,,,,,
12,163.55,163.7,161.9,162.8,6318532.0,162.8601,1537329600000,58963,,,,,,,,
13,163.58,165.11,162.53,164.01,6496935.0,164.1124,1537416000000,61294,,,,,88.67706528018495,,,
14,164.71,165.63,164.55,164.99,13247777.0,164.9768,1537502400000,54547,,,,,89.32774869109957,,,
15,164.48,164.84,163.05,163.18,4956563.0,163.7885,1537761600000,42643,,,,,80.16486868622621,,,
16,164.21,164.64,162.87,163.22,5816087.0,163.3241,1537848000000,43836,,,,,80.21317321638446,,,
17,163.01,164.54,162.6,162.79,3497409.0,163.5181,1537934400000,42595,,,,,78.01370922073698,,,
18,163.11,164.32,162.51,163.8,2893025.0,163.8529,1538020800000,34326,,,,,79.43976599090136,,,
19,163.5,164.15,162.3,162.83,3666455.0,162.9238,1538107200000,42059,,,,,74.44564361452115,,,
20,164.41,164.98,164.09,164.3,3176677.0,164.4366,1538366400000,35881,,,,,76.82356822148768,,,
21,164.54,164.54,162.41,163.15,3833191.0,162.9422,1538452800000,38158,,,,,71.23868356437626,,,
22,163.81,164.77,162.66,163.06,3363054.0,163.7109,1538539200000,35172,,,,,70.80486097711818,,,
23,163.84,164.65,162.48,164.44,3177481.0,163.8217,1538625600000,35648,,,,,73.47242630901395,,,
24,164.22,164.64,163.05,163.77,2799996.0,163.8703,1538712000000,32922,,159.834,,,70.1224480683557,,,
25,163.23,164.88,162.19,164.56,3245273.0,163.9954,1538971200000,31733,,160.39160000000004,,,71.75759311008512,2.6136717875439217,-0.18235490929403664,2.7960266968379583
26,164.3,164.66,162.27,162.39,3558924.0,163.1584,1539057600000,35562,,160.83640000000005,,,61.759198980757475,2.3659234889072707,-0.34408256634455014,2.710006055251821
27,162.39,162.97,154.17,154.46,8011119.0,156.0476,1539144000000,77043,,160.84800000000004,,,39.887017859054346,1.5122640128939224,-0.9581936338863186,2.470457646780241
28,154.15,156.28,150.36,152.09,6549201.0,153.131,1539230400000,70275,,160.74560000000002,,,35.805682873945756,0.6371488791182571,-1.4666470141295873,2.1037958932478444
29,154.03,155.18,151.65,152.65,5435529.0,152.9254,1539316800000,55332,,160.64760000000004,,,37.4347106746235,-0.011071227163142794,-1.6918936963287898,1.680822469165647
30,153.0,154.53,151.66,152.19,4717779.0,152.4352,1539576000000,40188,,160.49680000000004,,,36.6128097675409,-0.5555049716609801,-1.7890619526613016,1.2335569810003215
31,153.2,153.71,151.92,153.15,6731877.0,152.7648,1539662400000,53391,,160.37080000000003,,,39.59356470149329,-0.8991438886132528,-1.7061606956908595,0.8070168070776067
32,153.96,154.44,149.24,149.89,6680262.0,150.2071,1539748800000,62523,,160.08680000000004,,,33.783734086382864,-1.4181869843608865,-1.7801630331507947,0.36197604878990813
33,146.77,150.08,146.59,148.52,7973277.0,148.4011,1539835200000,72138,,159.76240000000004,,,31.679905306086766,-1.9179707547117744,-1.8239574428013459,-0.09401331191042839
34,148.34,149.73,147.74,148.7,5546698.0,148.6996,1539921600000,45580,,159.41400000000004,,,32.27663533069328,-2.273323044819051,-1.7434477863268982,-0.5298752584921529
35,146.7,147.38,145.59,146.82,6467604.0,146.6936,1540180800000,51180,,159.01840000000004,,,29.389351607120105,-2.6757976533666863,-1.7167379158996265,-0.9590597374670596
36,144.6,144.94,141.57,143.92,6561893.0,143.4831,1540267200000,70121,,158.22720000000004,,,25.587052333883975,-3.191972373415524,-1.7863301087587715,-1.4056422646567526
37,144.78,146.17,140.42,140.45,8014717.0,141.956,1540353600000,69575,,157.33320000000003,,,21.930866632035432,-3.836816129882095,-1.9449390921802738,-1.8918770377018213
38,136.5,145.15,135.81,144.15,9038214.0,142.8726,1540440000000,75475,,156.53880000000004,,,32.93510893701699,-4.003154501701971,-1.6890219712001198,-2.314132530501851
39,143.07,144.16,140.08,142.74,5664205.0,142.4771,1540526400000,64319,,155.64880000000005,,,31.134087038367667,-4.200335226042853,-1.5089621564328013,-2.6913730696100515
40,144.68,144.71,139.32,141.34,5296425.0,142.309,1540785600000,47011,,154.77520000000007,,,29.414160291477046,-4.418635392110019,-1.3818098579999738,-3.0368255341100454
41,142.0,146.61,141.675,146.28,4935116.0,144.8964,1540872000000,45153,,154.09760000000009,,,41.660821905650934,-4.145239392394984,-0.8867310866279507,-3.2585083057670334
42,147.3,148.96,145.91,146.22,4355377.0,147.1615,1540958400000,40232,,153.43480000000008,,,41.56649133012306,-3.888587376750536,-0.5040632567868015,-3.3845241199637344
43,147.16,147.95,146.24,147.18,3561777.0,147.2144,1541044800000,31166,,152.77000000000007,,,43.76065767718294,-3.5666111550718256,-0.14566962808647288,-3.4209415269853527
44,148.33,149.98,147.71,148.56,5841296.0,148.6676,1541131200000,59775,,152.19920000000005,,,46.85025114834407,-3.1636199710777078,0.20585724472611577,-3.3694772158038235
45,149.31,149.8,148.35,148.57,5036551.0,148.9408,1541394000000,41753,,151.57000000000005,,,46.8730273747508,-2.8110357674233057,0.4467531587044147,-3.2577889261277204
46,148.59,150.64,148.59,150.17,4281085.0,149.8679,1541480400000,35536,,151.05080000000007,,,50.526123978587336,-2.375124658948522,0.7061314137433587,-3.0812560726918807
47,151.05,152.93,150.22,152.87,5780442.0,151.9124,1541566800000,46866,,150.64320000000006,,,56.02169741942095,-1.791147298645484,1.0320870192371174,-2.8232343178826014
48,152.82,153.3,151.4,152.39,2602123.0,152.4109,1541653200000,27258,,150.16120000000004,,,54.85511253081999,-1.351493842013241,1.1773923806954882,-2.528886222708729
49,151.59,151.82,149.67,150.25,3807175.0,150.3796,1541739600000,32600,,149.62040000000005,,,49.86914731005847,-1.162346617107488,1.093231684480993,-2.255578301588481
